title,status,priority,description,due_date,estimated_duration,asset_id,total_cost,created_at,updated_at,requires_signature,category,location_name,team_name,primary_user,assigned_to,asset_name,completed_by,completed_on,archived,feedback,contractors,date_created
Clean camera lens and verify image quality - Loading-Bay-Camera-HN-01,IN_PROGRESS,LOW,"Clean camera lens and verify image quality for Hikvision DS-2CD2686G2 Bullet Camera installed at Loading Bay - HN-01. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2026-02-14,8.0,14,1100.0,2025-12-20 11:00:00,2025-12-21 02:00:00,false,Security Maintenance,Loading Bay - HN-01,Security Operations,Security Officer,,Loading-Bay-Camera-HN-01,,,false,,,2025-12-20 11:00:00
Inspect backhaul alignment and RSSI stability - Microwave-Radio-HN-01,DONE,HIGH,"Inspect backhaul alignment and rssi stability for Ceragon IP-20C Microwave Radio installed at Roof - HN-01. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-02-13,6.0,15,900.0,2026-01-23 05:54:00,2026-01-28 10:54:00,false,Network Maintenance,Roof - HN-01,Cellular Maintenance,Field Technician,,Microwave-Radio-HN-01,Duc Nguyen,2026-01-28 10:54:00,false,Corrective action implemented and follow-up checks were satisfactory.,,2026-01-23 05:54:00
Inspect and clean fiber terminations - Fiber-Patch-Panel-HN-01,IN_PROGRESS,HIGH,"Inspect and clean fiber terminations for Corning EDGE Fiber Patch Panel installed at IDF Room 1 - HN-01. Assigned owner: Cabling Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-02-04,8.0,16,1300.0,2026-01-18 15:02:00,2026-01-19 08:02:00,false,Preventive Maintenance,IDF Room 1 - HN-01,Infrastructure,Cabling Technician,,Fiber-Patch-Panel-HN-01,,,false,,,2026-01-18 15:02:00
Verify edge switch firmware and uplink stability - Edge-Switch-HN-01,OPEN,URGENT,"Verify edge switch firmware and uplink stability for Cisco Catalyst 9300 Edge Switch installed at IDF Room 2 - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-03-31,6.0,17,450.0,2025-01-15 01:23:00,2025-01-15 19:23:00,true,Network Maintenance,IDF Room 2 - HN-01,Network Operations,Network Engineer,,Edge-Switch-HN-01,,,false,,,2025-01-15 01:23:00
Optimize antenna alignment and sector KPIs - 5G-Antenna-HN-01,DONE,HIGH,"Optimize antenna alignment and sector kpis for Ericsson AIR 6488 Massive MIMO Antenna installed at Telecom Mast - HN-01. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-03-26,2.0,18,175.0,2026-03-09 17:00:00,2026-03-20 00:00:00,true,Cellular Maintenance,Telecom Mast - HN-01,Cellular Maintenance,Field Technician,,5G-Antenna-HN-01,Hieu Do,2026-03-20 00:00:00,false,Sector alignment improved signal quality and throughput remained stable after tuning.,,2026-03-09 17:00:00
Review baseband alarms and software health - Baseband-Unit-HN-01,IN_PROGRESS,HIGH,"Review baseband alarms and software health for Nokia AirScale Baseband Unit installed at Base Station - HN-01. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-03-17,6.0,19,600.0,2026-03-07 11:16:00,2026-03-08 07:16:00,true,Cellular Maintenance,Base Station - HN-01,Cellular Maintenance,Field Technician,,Baseband-Unit-HN-01,,,false,,,2026-03-07 11:16:00
Inspect RRU connectors and weather sealing - Radio-Unit-HN-01,DONE,LOW,"Inspect rru connectors and weather sealing for Ericsson Radio 4422 Remote Radio Unit installed at Antenna Array - HN-01. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-10-05,2.0,20,225.0,2025-09-07 06:13:00,2025-09-19 12:13:00,false,Cellular Maintenance,Antenna Array - HN-01,Cellular Maintenance,Field Technician,,Radio-Unit-HN-01,Hieu Do,2025-09-19 12:13:00,false,Corrective action implemented and follow-up checks were satisfactory.,,2025-09-07 06:13:00
Validate gateway sensor polling and packet delivery - Sensor-Gateway-HN-01,IN_PROGRESS,HIGH,"Validate gateway sensor polling and packet delivery for Advantech WISE-6610 IoT Gateway installed at Storage Room - HN-01. Assigned owner: Facilities Supervisor. Include functional checks, log review, and required remedial actions if deviations are found.",2025-07-09,3.0,21,375.0,2025-03-17 22:44:00,2025-03-18 20:44:00,false,Preventive Maintenance,Storage Room - HN-01,Facilities,Facilities Supervisor,,Sensor-Gateway-HN-01,,,false,,,2025-03-17 22:44:00
Tune wireless controller profiles and client balancing - WiFi-Controller-HN-01,OPEN,MEDIUM,"Tune wireless controller profiles and client balancing for Cisco Catalyst 9800-L Wireless Controller installed at Office Floor 1 - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-30,4.0,22,550.0,2025-03-31 05:53:00,2025-04-01 04:53:00,false,Network Maintenance,Office Floor 1 - HN-01,Network Operations,Network Engineer,,WiFi-Controller-HN-01,,,false,,,2025-03-31 05:53:00
Validate AP channel plan and client coverage - Access-Point-HN-01,ON_HOLD,LOW,"Validate ap channel plan and client coverage for Aruba AP-515 Wireless Access Point installed at Office Floor 2 - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-10-25,1.0,23,150.0,2025-07-27 10:08:00,2025-07-28 10:08:00,false,Network Maintenance,Office Floor 2 - HN-01,Network Operations,Network Engineer,,Access-Point-HN-01,,,false,,,2025-07-27 10:08:00
Review GPU thermals and update AI server firmware - AI-Analytics-Server-HN-01,IN_PROGRESS,HIGH,"Review gpu thermals and update ai server firmware for NVIDIA DGX A100 AI Analytics Server installed at Lab A - HN-01. Assigned owner: AI Specialist. Include functional checks, log review, and required remedial actions if deviations are found.",2025-07-31,8.0,24,1300.0,2025-03-20 01:11:00,2025-03-21 02:11:00,false,Server Maintenance,Lab A - HN-01,AI Operations,AI Specialist,,AI-Analytics-Server-HN-01,,,false,,,2025-03-20 01:11:00
Verify monitoring appliance calibration and alerting - Monitoring-Appliance-HN-01,DONE,MEDIUM,"Verify monitoring appliance calibration and alerting for Fluke OptiView XG Network Monitoring Appliance installed at Workshop - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-07-05,2.0,25,150.0,2025-06-07 01:03:00,2025-06-25 05:03:00,false,Calibration,Workshop - HN-01,Network Operations,Network Engineer,,Monitoring-Appliance-HN-01,Nam Le,2025-06-25 05:03:00,true,Task completed successfully. Asset is operating within expected thresholds.,,2025-06-07 01:03:00
Calibrate monitoring thresholds - Monitoring-System-HN-02,DONE,HIGH,"Calibrate monitoring thresholds for SolarWinds Hybrid Cloud Observability Appliance installed at Infrastructure Site - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-03-23,4.0,26,350.0,2025-03-13 18:13:00,2025-03-23 18:13:00,true,Calibration,Infrastructure Site - HN-02,Network Operations,Network Engineer,,Monitoring-System-HN-02,Nam Le,2025-03-23 18:13:00,true,Maintenance completed successfully. Performance is stable after service.,,2025-03-13 18:13:00
Quarterly preventive maintenance on core router - Core-Router-HN-02,DONE,MEDIUM,"Quarterly preventive maintenance on core router for Cisco ASR 9904 Core Router installed at Network Operations Center (NOC) - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-09-06,3.0,27,300.0,2025-08-22 06:42:00,2025-09-04 11:42:00,false,Network Maintenance,Network Operations Center (NOC) - HN-02,Network Operations,Network Engineer,,Core-Router-HN-02,Minh Tran,2025-09-04 11:42:00,false,Maintenance completed successfully. Router performance and routing tables are stable.,,2025-08-22 06:42:00
Review VMS storage health and recording retention - Security-VMS-Server-HN-02,DONE,HIGH,"Review vms storage health and recording retention for Milestone Husky IVO 350R Video Management Server installed at Security Operations Center (SOC) - HN-02. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-10,2.0,28,225.0,2025-05-21 14:38:00,2025-06-05 19:38:00,true,Security Maintenance,Security Operations Center (SOC) - HN-02,Security Operations,Security Officer,,Security-VMS-Server-HN-02,Ha Tran,2025-06-05 19:38:00,false,Corrective action implemented and follow-up checks were satisfactory.,,2025-05-21 14:38:00
Patch hypervisor host and validate cluster health - Virtualization-Host-HN-02,OPEN,HIGH,"Patch hypervisor host and validate cluster health for Dell PowerEdge R750 Virtualization Host installed at Server Room A - HN-02. Assigned owner: System Administrator. Include functional checks, log review, and required remedial actions if deviations are found.",2026-03-30,3.0,29,375.0,2026-03-17 01:10:00,2026-03-18 07:10:00,true,Server Maintenance,Server Room A - HN-02,Server Operations,System Administrator,,Virtualization-Host-HN-02,,,false,,,2026-03-17 01:10:00
Inspect storage array alerts and firmware status - Storage-Array-HN-02,DONE,MEDIUM,"Inspect storage array alerts and firmware status for NetApp AFF A250 Storage Array installed at Server Room B - HN-02. Assigned owner: Storage Administrator. Include functional checks, log review, and required remedial actions if deviations are found.",2025-12-27,2.0,30,275.0,2025-12-05 12:14:00,2025-12-12 19:14:00,false,Server Maintenance,Server Room B - HN-02,Server Operations,Storage Administrator,,Storage-Array-HN-02,Trang Pham,2025-12-12 19:14:00,false,Maintenance completed successfully. Performance is stable after service.,,2025-12-05 12:14:00
Validate switch port configuration and error counters - Access-Switch-HN-02,OPEN,MEDIUM,"Validate switch port configuration and error counters for Juniper EX4300 Access Switch installed at Network Closet - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-09-04,3.0,31,450.0,2025-07-03 17:46:00,2025-07-05 01:46:00,false,Network Maintenance,Network Closet - HN-02,Network Operations,Network Engineer,,Access-Switch-HN-02,,,false,,,2025-07-03 17:46:00
Update access control firmware and credential sync - Access-Control-Panel-HN-02,IN_PROGRESS,HIGH,"Update access control firmware and credential sync for Paxton Net2 Plus Access Control Panel installed at Access Control Room - HN-02. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2026-04-15,4.0,32,650.0,2025-11-25 03:00:00,2025-11-26 12:00:00,false,Security Maintenance,Access Control Room - HN-02,Security Operations,Security Officer,,Access-Control-Panel-HN-02,,,false,,,2025-11-25 03:00:00
Inspect NVR recording capacity and camera retention - NVR-HN-02,OPEN,HIGH,"Inspect nvr recording capacity and camera retention for Hikvision DS-9632NI-M8 Network Video Recorder installed at Video Surveillance Room - HN-02. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2026-01-25,2.0,33,150.0,2026-01-13 16:45:00,2026-01-15 02:45:00,false,Security Maintenance,Video Surveillance Room - HN-02,Security Operations,Security Officer,,NVR-HN-02,,,false,,,2026-01-13 16:45:00
Perform UPS battery health check and load test - UPS-HN-02,DONE,MEDIUM,"Perform ups battery health check and load test for APC Smart-UPS SRT 3000VA installed at UPS Room - HN-02. Assigned owner: Electrician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-03-21,2.0,34,175.0,2025-03-12 11:25:00,2025-03-16 21:25:00,false,Power Maintenance,UPS Room - HN-02,Facilities,Electrician,,UPS-HN-02,Khanh Truong,2025-03-16 21:25:00,false,UPS battery strings passed the load test and runtime remained within target.,,2025-03-12 11:25:00
Test ATS failover sequence - ATS-Panel-HN-02,IN_PROGRESS,URGENT,"Test ats failover sequence for Schneider EasyPact Automatic Transfer Switch installed at Electrical Room - HN-02. Assigned owner: Electrician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-03-13,4.0,35,400.0,2026-02-13 07:33:00,2026-02-14 19:33:00,false,Power Maintenance,Electrical Room - HN-02,Facilities,Electrician,,ATS-Panel-HN-02,,,false,,,2026-02-13 07:33:00
Replace filters and inspect cooling performance - CRAC-Unit-HN-02,IN_PROGRESS,LOW,"Replace filters and inspect cooling performance for Vertiv Liebert PDX Precision Cooling Unit installed at HVAC Plant - HN-02. Assigned owner: HVAC Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-07-03,6.0,36,675.0,2025-05-17 09:06:00,2025-05-18 22:06:00,false,Preventive Maintenance,HVAC Plant - HN-02,Facilities,HVAC Technician,,CRAC-Unit-HN-02,,,false,,,2025-05-17 09:06:00
Monthly backup generator test run - Generator-HN-02,ON_HOLD,MEDIUM,"Monthly backup generator test run for Cummins C275D5 Backup Generator installed at Generator Yard - HN-02. Assigned owner: Electrician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-11-01,3.0,37,375.0,2025-09-04 03:48:00,2025-09-05 17:48:00,false,Power Maintenance,Generator Yard - HN-02,Facilities,Electrician,,Generator-HN-02,,,false,,,2025-09-04 03:48:00
Clean and validate visitor kiosk peripherals - Visitor-Kiosk-HN-02,DONE,HIGH,"Clean and validate visitor kiosk peripherals for ZKTeco SpeedFace-V5L Visitor Kiosk installed at Reception - HN-02. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-02-14,1.0,38,137.5,2025-01-17 16:51:00,2025-01-19 20:51:00,false,Preventive Maintenance,Reception - HN-02,Security Operations,Security Officer,,Visitor-Kiosk-HN-02,Vy Do,2025-01-19 20:51:00,true,Work order closed after verification by the site operations team.,,2025-01-17 16:51:00
Clean camera lens and verify image quality - Loading-Bay-Camera-HN-02,IN_PROGRESS,MEDIUM,"Clean camera lens and verify image quality for Hikvision DS-2CD2686G2 Bullet Camera installed at Loading Bay - HN-02. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-21,8.0,39,1200.0,2025-04-06 03:14:00,2025-04-07 19:14:00,false,Security Maintenance,Loading Bay - HN-02,Security Operations,Security Officer,,Loading-Bay-Camera-HN-02,,,false,,Mekong Telecom Services,2025-04-06 03:14:00
Inspect backhaul alignment and RSSI stability - Microwave-Radio-HN-02,DONE,LOW,"Inspect backhaul alignment and rssi stability for Ceragon IP-20C Microwave Radio installed at Roof - HN-02. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-09-16,4.0,40,650.0,2025-08-20 08:21:00,2025-09-03 09:21:00,false,Network Maintenance,Roof - HN-02,Cellular Maintenance,Field Technician,,Microwave-Radio-HN-02,Son Pham,2025-09-03 09:21:00,false,Maintenance completed successfully. Performance is stable after service.,,2025-08-20 08:21:00
Inspect and clean fiber terminations - Fiber-Patch-Panel-HN-02,IN_PROGRESS,URGENT,"Inspect and clean fiber terminations for Corning EDGE Fiber Patch Panel installed at IDF Room 1 - HN-02. Assigned owner: Cabling Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-02-04,6.0,41,450.0,2025-11-18 02:09:00,2025-11-19 20:09:00,true,Preventive Maintenance,IDF Room 1 - HN-02,Infrastructure,Cabling Technician,,Fiber-Patch-Panel-HN-02,,,false,,,2025-11-18 02:09:00
Verify edge switch firmware and uplink stability - Edge-Switch-HN-02,ON_HOLD,HIGH,"Verify edge switch firmware and uplink stability for Cisco Catalyst 9300 Edge Switch installed at IDF Room 2 - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2026-03-28,1.0,42,87.5,2026-03-02 18:23:00,2026-03-04 13:23:00,true,Network Maintenance,IDF Room 2 - HN-02,Network Operations,Network Engineer,,Edge-Switch-HN-02,,,false,,,2026-03-02 18:23:00
Optimize antenna alignment and sector KPIs - 5G-Antenna-HN-02,DONE,MEDIUM,"Optimize antenna alignment and sector kpis for Ericsson AIR 6488 Massive MIMO Antenna installed at Telecom Mast - HN-02. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-01-23,4.0,43,400.0,2025-01-03 17:20:00,2025-01-06 19:20:00,false,Cellular Maintenance,Telecom Mast - HN-02,Cellular Maintenance,Field Technician,,5G-Antenna-HN-02,Khoa Le,2025-01-06 19:20:00,true,Sector alignment improved signal quality and throughput remained stable after tuning.,,2025-01-03 17:20:00
Review baseband alarms and software health - Baseband-Unit-HN-02,DONE,HIGH,"Review baseband alarms and software health for Nokia AirScale Baseband Unit installed at Base Station - HN-02. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-04-28,4.0,44,450.0,2025-04-12 09:06:00,2025-04-17 14:06:00,true,Cellular Maintenance,Base Station - HN-02,Cellular Maintenance,Field Technician,,Baseband-Unit-HN-02,Tien Bui,2025-04-17 14:06:00,true,Corrective action implemented and follow-up checks were satisfactory.,,2025-04-12 09:06:00
Inspect RRU connectors and weather sealing - Radio-Unit-HN-02,DONE,LOW,"Inspect rru connectors and weather sealing for Ericsson Radio 4422 Remote Radio Unit installed at Antenna Array - HN-02. Assigned owner: Field Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-10-15,3.0,45,375.0,2025-10-13 20:33:00,2025-10-15 05:33:00,false,Cellular Maintenance,Antenna Array - HN-02,Cellular Maintenance,Field Technician,,Radio-Unit-HN-02,Son Pham,2025-10-15 05:33:00,false,Corrective action implemented and follow-up checks were satisfactory.,,2025-10-13 20:33:00
Validate gateway sensor polling and packet delivery - Sensor-Gateway-HN-02,DONE,MEDIUM,"Validate gateway sensor polling and packet delivery for Advantech WISE-6610 IoT Gateway installed at Storage Room - HN-02. Assigned owner: Facilities Supervisor. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-18,1.0,46,137.5,2025-06-04 07:56:00,2025-06-18 07:56:00,false,Preventive Maintenance,Storage Room - HN-02,Facilities,Facilities Supervisor,,Sensor-Gateway-HN-02,Diem Nguyen,2025-06-18 07:56:00,false,Inspection completed and no critical issues were found.,,2025-06-04 07:56:00
Tune wireless controller profiles and client balancing - WiFi-Controller-HN-02,DONE,LOW,"Tune wireless controller profiles and client balancing for Cisco Catalyst 9800-L Wireless Controller installed at Office Floor 1 - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-04-30,8.0,47,1200.0,2025-04-02 11:34:00,2025-04-18 13:34:00,false,Network Maintenance,Office Floor 1 - HN-02,Network Operations,Network Engineer,,WiFi-Controller-HN-02,Minh Tran,2025-04-18 13:34:00,true,Inspection completed and no critical issues were found.,,2025-04-02 11:34:00
Validate AP channel plan and client coverage - Access-Point-HN-02,IN_PROGRESS,HIGH,"Validate ap channel plan and client coverage for Aruba AP-515 Wireless Access Point installed at Office Floor 2 - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-10-26,6.0,48,975.0,2025-08-13 00:00:00,2025-08-15 01:00:00,false,Network Maintenance,Office Floor 2 - HN-02,Network Operations,Network Engineer,,Access-Point-HN-02,,,false,,,2025-08-13 00:00:00
Review GPU thermals and update AI server firmware - AI-Analytics-Server-HN-02,IN_PROGRESS,MEDIUM,"Review gpu thermals and update ai server firmware for NVIDIA DGX A100 AI Analytics Server installed at Lab A - HN-02. Assigned owner: AI Specialist. Include functional checks, log review, and required remedial actions if deviations are found.",2025-04-19,8.0,49,600.0,2025-01-23 16:22:00,2025-01-25 18:22:00,false,Server Maintenance,Lab A - HN-02,AI Operations,AI Specialist,,AI-Analytics-Server-HN-02,,,false,,,2025-01-23 16:22:00
Verify monitoring appliance calibration and alerting - Monitoring-Appliance-HN-02,IN_PROGRESS,LOW,"Verify monitoring appliance calibration and alerting for Fluke OptiView XG Network Monitoring Appliance installed at Workshop - HN-02. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2026-01-23,6.0,50,525.0,2025-12-31 12:35:00,2026-01-02 15:35:00,false,Calibration,Workshop - HN-02,Network Operations,Network Engineer,,Monitoring-Appliance-HN-02,,,false,,,2025-12-31 12:35:00
Calibrate monitoring thresholds - Monitoring-System-HCM-03,DONE,LOW,"Calibrate monitoring thresholds for SolarWinds Hybrid Cloud Observability Appliance installed at Infrastructure Site - HCM-03. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-07-31,1.0,51,100.0,2025-07-19 08:23:00,2025-07-27 16:23:00,false,Calibration,Infrastructure Site - HCM-03,Network Operations,Network Engineer,,Monitoring-System-HCM-03,Bao Nguyen,2025-07-27 16:23:00,false,Corrective action implemented and follow-up checks were satisfactory.,,2025-07-19 08:23:00
Quarterly preventive maintenance on core router - Core-Router-HCM-03,DONE,LOW,"Quarterly preventive maintenance on core router for Cisco ASR 9904 Core Router installed at Network Operations Center (NOC) - HCM-03. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-02-16,6.0,52,675.0,2025-02-05 16:24:00,2025-02-16 16:24:00,false,Network Maintenance,Network Operations Center (NOC) - HCM-03,Network Operations,Network Engineer,,Core-Router-HCM-03,Anh Hoang,2025-02-16 16:24:00,true,Maintenance completed successfully. Router performance and routing tables are stable.,,2025-02-05 16:24:00
