ID,name,cost,category,is_consumable,part_number,description,last_price,asset_name,location_name,quantity,assigned_to,barcode,vendor
44,Timing Module,806.65,Cellular,false,TIM-BBU-HN02,Synchronization module for BBU,831.99,Baseband-Unit-HN-02,Base Station - HN-02,21,Field Technician,PRT-HN02-0044,Nokia
45,Surge Protector,68.12,Cellular,true,SPD-RRU-HN02,Outdoor RF surge protector,67.15,Radio-Unit-HN-02,Antenna Array - HN-02,222,Field Technician,PRT-HN02-0045,Ericsson
46,Antenna Kit,45.92,Facilities,false,ANT-IOT-HN02,LTE antenna kit for gateway,44.87,Sensor-Gateway-HN-02,Storage Room - HN-02,15,Facilities Supervisor,PRT-HN02-0046,Advantech
47,Controller SSD,300.52,Network,false,SSD-WLC-HN02,SSD for wireless controller,295.59,WiFi-Controller-HN-02,Office Floor 1 - HN-02,19,Network Engineer,PRT-HN02-0047,Cisco
48,PoE Injector,75.0,Network,false,POE-AP-HN02,802.3at PoE injector,77.63,Access-Point-HN-02,Office Floor 2 - HN-02,21,Network Engineer,PRT-HN02-0048,Aruba
49,GPU Accelerator,12336.66,Server,false,GPU-A100-HN02,NVIDIA A100 Tensor Core GPU,12369.75,AI-Analytics-Server-HN-02,Lab A - HN-02,3,AI Specialist,PRT-HN02-0049,NVIDIA
50,Capture SSD,525.04,Network,false,SSD-NMA-HN02,High-write SSD for packet capture,528.53,Monitoring-Appliance-HN-02,Workshop - HN-02,1,Network Engineer,PRT-HN02-0050,Fluke
51,SSD Module,465.36,Network,false,SSD-OBS-HCM03,Enterprise SSD for monitoring appliance,477.77,Monitoring-System-HCM-03,Infrastructure Site - HCM-03,24,Network Engineer,PRT-HCM03-0051,SolarWinds
52,Cisco Line Card,9135.41,Network,false,LC-ASR-HCM03,100G line card for ASR series router,9298.55,Core-Router-HCM-03,Network Operations Center (NOC) - HCM-03,51,Network Engineer,PRT-HCM03-0052,Cisco
53,RAID Drive,352.1,Security,false,DRV-VMS-HCM03,12TB surveillance-rated HDD,346.59,Security-VMS-Server-HCM-03,Security Operations Center (SOC) - HCM-03,6,Security Officer,PRT-HCM03-0053,Milestone
54,Server Memory Kit,601.88,Server,false,RAM-R750-HCM03,64GB DDR4 RDIMM memory kit,609.36,Virtualization-Host-HCM-03,Server Room A - HCM-03,5,System Administrator,PRT-HCM03-0054,Dell
55,NVMe SSD,1281.84,Server,false,SSD-AFF-HCM03,Enterprise NVMe SSD for storage array,1272.4,Storage-Array-HCM-03,Server Room B - HCM-03,5,Storage Administrator,PRT-HCM03-0055,NetApp
56,Juniper Transceiver,242.14,Network,false,SFP-EX-HCM03,10G SFP+ transceiver,252.75,Access-Switch-HCM-03,Network Closet - HCM-03,44,Network Engineer,PRT-HCM03-0056,Juniper
57,Access Card,11.54,Security,true,CARD-N2-HCM03,Proximity access card,11.85,Access-Control-Panel-HCM-03,Access Control Room - HCM-03,233,Security Officer,PRT-HCM03-0057,Paxton
58,Surveillance HDD,272.54,Security,false,HDD-NVR-HCM03,8TB surveillance hard drive,266.4,NVR-HCM-03,Video Surveillance Room - HCM-03,28,Security Officer,PRT-HCM03-0058,Hikvision
59,UPS Battery Module,448.25,Power,false,BATT-SRT-HCM03,Replacement battery cartridge,443.63,UPS-HCM-03,UPS Room - HCM-03,16,Electrician,PRT-HCM03-0059,APC
60,Contactor Kit,613.99,Power,false,CTK-ATS-HCM03,Replacement contactor set for ATS panel,599.55,ATS-Panel-HCM-03,Electrical Room - HCM-03,27,Electrician,PRT-HCM03-0060,Schneider Electric
61,Air Filter Kit,90.61,Cooling,true,FLT-PDX-HCM03,Precision cooling filter pack,88.25,CRAC-Unit-HCM-03,HVAC Plant - HCM-03,339,HVAC Technician,PRT-HCM03-0061,Vertiv
62,Generator Service Kit,190.15,Power,true,SVK-GEN-HCM03,"Oil, air and fuel filter service kit",186.92,Generator-HCM-03,Generator Yard - HCM-03,216,Electrician,PRT-HCM03-0062,Cummins
63,Camera Module,140.28,Security,false,CAM-KSK-HCM03,Replacement facial recognition camera,141.57,Visitor-Kiosk-HCM-03,Reception - HCM-03,29,Security Officer,PRT-HCM03-0063,ZKTeco
64,Mounting Bracket,54.42,Security,false,MBR-CAM-HCM03,Outdoor mounting bracket,54.64,Loading-Bay-Camera-HCM-03,Loading Bay - HCM-03,2,Security Officer,PRT-HCM03-0064,Hikvision
65,Radio Mount Kit,117.58,Network,false,MKT-IP20-HCM03,Microwave radio mounting kit,119.01,Microwave-Radio-HCM-03,Roof - HCM-03,21,Field Technician,PRT-HCM03-0065,Ceragon
66,LC Connector Pack,17.43,Cabling,true,LC-CONN-HCM03,Single-mode LC connector pack,18.27,Fiber-Patch-Panel-HCM-03,IDF Room 1 - HCM-03,360,Cabling Technician,PRT-HCM03-0066,Corning
67,Power Supply Module,336.64,Network,false,PSU-C93-HCM03,Replacement switch power supply,344.34,Edge-Switch-HCM-03,IDF Room 2 - HCM-03,40,Network Engineer,PRT-HCM03-0067,Cisco
68,RF Jumper Cable,79.33,Cellular,true,RFC-AIR-HCM03,Low-loss RF jumper cable,82.52,5G-Antenna-HCM-03,Telecom Mast - HCM-03,162,Field Technician,PRT-HCM03-0068,Ericsson
69,Timing Module,740.7,Cellular,false,TIM-BBU-HCM03,Synchronization module for BBU,762.74,Baseband-Unit-HCM-03,Base Station - HCM-03,20,Field Technician,PRT-HCM03-0069,Nokia
70,Surge Protector,66.62,Cellular,true,SPD-RRU-HCM03,Outdoor RF surge protector,67.07,Radio-Unit-HCM-03,Antenna Array - HCM-03,217,Field Technician,PRT-HCM03-0070,Ericsson
71,Antenna Kit,45.2,Facilities,false,ANT-IOT-HCM03,LTE antenna kit for gateway,44.53,Sensor-Gateway-HCM-03,Storage Room - HCM-03,27,Facilities Supervisor,PRT-HCM03-0071,Advantech
72,Controller SSD,268.43,Network,false,SSD-WLC-HCM03,SSD for wireless controller,278.46,WiFi-Controller-HCM-03,Office Floor 1 - HCM-03,28,Network Engineer,PRT-HCM03-0072,Cisco
73,PoE Injector,69.13,Network,false,POE-AP-HCM03,802.3at PoE injector,67.7,Access-Point-HCM-03,Office Floor 2 - HCM-03,13,Network Engineer,PRT-HCM03-0073,Aruba
74,GPU Accelerator,12638.86,Server,false,GPU-A100-HCM03,NVIDIA A100 Tensor Core GPU,13102.8,AI-Analytics-Server-HCM-03,Lab A - HCM-03,1,AI Specialist,PRT-HCM03-0074,NVIDIA
75,Capture SSD,514.43,Network,false,SSD-NMA-HCM03,High-write SSD for packet capture,510.96,Monitoring-Appliance-HCM-03,Workshop - HCM-03,16,Network Engineer,PRT-HCM03-0075,Fluke
76,SSD Module,455.5,Network,false,SSD-OBS-HCM04,Enterprise SSD for monitoring appliance,462.0,Monitoring-System-HCM-04,Infrastructure Site - HCM-04,9,Network Engineer,PRT-HCM04-0076,SolarWinds
77,Cisco Line Card,8211.69,Network,false,LC-ASR-HCM04,100G line card for ASR series router,8091.61,Core-Router-HCM-04,Network Operations Center (NOC) - HCM-04,26,Network Engineer,PRT-HCM04-0077,Cisco
78,RAID Drive,357.57,Security,false,DRV-VMS-HCM04,12TB surveillance-rated HDD,355.24,Security-VMS-Server-HCM-04,Security Operations Center (SOC) - HCM-04,23,Security Officer,PRT-HCM04-0078,Milestone
79,Server Memory Kit,638.92,Server,false,RAM-R750-HCM04,64GB DDR4 RDIMM memory kit,624.16,Virtualization-Host-HCM-04,Server Room A - HCM-04,16,System Administrator,PRT-HCM04-0079,Dell
80,NVMe SSD,1162.3,Server,false,SSD-AFF-HCM04,Enterprise NVMe SSD for storage array,1146.91,Storage-Array-HCM-04,Server Room B - HCM-04,1,Storage Administrator,PRT-HCM04-0080,NetApp
81,Juniper Transceiver,251.78,Network,false,SFP-EX-HCM04,10G SFP+ transceiver,251.03,Access-Switch-HCM-04,Network Closet - HCM-04,11,Network Engineer,PRT-HCM04-0081,Juniper
82,Access Card,12.52,Security,true,CARD-N2-HCM04,Proximity access card,12.7,Access-Control-Panel-HCM-04,Access Control Room - HCM-04,87,Security Officer,PRT-HCM04-0082,Paxton
83,Surveillance HDD,311.47,Security,false,HDD-NVR-HCM04,8TB surveillance hard drive,320.95,NVR-HCM-04,Video Surveillance Room - HCM-04,4,Security Officer,PRT-HCM04-0083,Hikvision
84,UPS Battery Module,396.95,Power,false,BATT-SRT-HCM04,Replacement battery cartridge,394.32,UPS-HCM-04,UPS Room - HCM-04,15,Electrician,PRT-HCM04-0084,APC
85,Contactor Kit,698.84,Power,false,CTK-ATS-HCM04,Replacement contactor set for ATS panel,720.88,ATS-Panel-HCM-04,Electrical Room - HCM-04,1,Electrician,PRT-HCM04-0085,Schneider Electric
86,Air Filter Kit,89.7,Cooling,true,FLT-PDX-HCM04,Precision cooling filter pack,92.42,CRAC-Unit-HCM-04,HVAC Plant - HCM-04,225,HVAC Technician,PRT-HCM04-0086,Vertiv
87,Generator Service Kit,192.78,Power,true,SVK-GEN-HCM04,"Oil, air and fuel filter service kit",193.82,Generator-HCM-04,Generator Yard - HCM-04,15,Electrician,PRT-HCM04-0087,Cummins
88,Camera Module,145.81,Security,false,CAM-KSK-HCM04,Replacement facial recognition camera,149.13,Visitor-Kiosk-HCM-04,Reception - HCM-04,21,Security Officer,PRT-HCM04-0088,ZKTeco
89,Mounting Bracket,58.29,Security,false,MBR-CAM-HCM04,Outdoor mounting bracket,59.9,Loading-Bay-Camera-HCM-04,Loading Bay - HCM-04,11,Security Officer,PRT-HCM04-0089,Hikvision
90,Radio Mount Kit,116.82,Network,false,MKT-IP20-HCM04,Microwave radio mounting kit,119.15,Microwave-Radio-HCM-04,Roof - HCM-04,20,Field Technician,PRT-HCM04-0090,Ceragon
91,LC Connector Pack,17.68,Cabling,true,LC-CONN-HCM04,Single-mode LC connector pack,18.17,Fiber-Patch-Panel-HCM-04,IDF Room 1 - HCM-04,74,Cabling Technician,PRT-HCM04-0091,Corning
92,Power Supply Module,350.82,Network,false,PSU-C93-HCM04,Replacement switch power supply,358.14,Edge-Switch-HCM-04,IDF Room 2 - HCM-04,5,Network Engineer,PRT-HCM04-0092,Cisco
93,RF Jumper Cable,89.65,Cellular,true,RFC-AIR-HCM04,Low-loss RF jumper cable,88.82,5G-Antenna-HCM-04,Telecom Mast - HCM-04,269,Field Technician,PRT-HCM04-0093,Ericsson
94,Timing Module,774.15,Cellular,false,TIM-BBU-HCM04,Synchronization module for BBU,811.8,Baseband-Unit-HCM-04,Base Station - HCM-04,26,Field Technician,PRT-HCM04-0094,Nokia
95,Surge Protector,67.23,Cellular,true,SPD-RRU-HCM04,Outdoor RF surge protector,68.01,Radio-Unit-HCM-04,Antenna Array - HCM-04,136,Field Technician,PRT-HCM04-0095,Ericsson
96,Antenna Kit,44.87,Facilities,false,ANT-IOT-HCM04,LTE antenna kit for gateway,45.05,Sensor-Gateway-HCM-04,Storage Room - HCM-04,5,Facilities Supervisor,PRT-HCM04-0096,Advantech
97,Controller SSD,280.85,Network,false,SSD-WLC-HCM04,SSD for wireless controller,281.29,WiFi-Controller-HCM-04,Office Floor 1 - HCM-04,9,Network Engineer,PRT-HCM04-0097,Cisco
98,PoE Injector,72.6,Network,false,POE-AP-HCM04,802.3at PoE injector,72.84,Access-Point-HCM-04,Office Floor 2 - HCM-04,14,Network Engineer,PRT-HCM04-0098,Aruba
99,GPU Accelerator,13343.39,Server,false,GPU-A100-HCM04,NVIDIA A100 Tensor Core GPU,13069.87,AI-Analytics-Server-HCM-04,Lab A - HCM-04,7,AI Specialist,PRT-HCM04-0099,NVIDIA
100,Capture SSD,508.85,Network,false,SSD-NMA-HCM04,High-write SSD for packet capture,525.79,Monitoring-Appliance-HCM-04,Workshop - HCM-04,5,Network Engineer,PRT-HCM04-0100,Fluke
101,SSD Module,439.1,Network,false,SSD-OBS-DN05,Enterprise SSD for monitoring appliance,456.51,Monitoring-System-DN-05,Infrastructure Site - DN-05,14,Network Engineer,PRT-DN05-0101,SolarWinds
102,Cisco Line Card,8685.59,Network,false,LC-ASR-DN05,100G line card for ASR series router,8954.27,Core-Router-DN-05,Network Operations Center (NOC) - DN-05,46,Network Engineer,PRT-DN05-0102,Cisco
103,RAID Drive,352.39,Security,false,DRV-VMS-DN05,12TB surveillance-rated HDD,360.71,Security-VMS-Server-DN-05,Security Operations Center (SOC) - DN-05,15,Security Officer,PRT-DN05-0103,Milestone
104,Server Memory Kit,589.49,Server,false,RAM-R750-DN05,64GB DDR4 RDIMM memory kit,600.98,Virtualization-Host-DN-05,Server Room A - DN-05,19,System Administrator,PRT-DN05-0104,Dell
105,NVMe SSD,1255.06,Server,false,SSD-AFF-DN05,Enterprise NVMe SSD for storage array,1242.03,Storage-Array-DN-05,Server Room B - DN-05,12,Storage Administrator,PRT-DN05-0105,NetApp
106,Juniper Transceiver,237.58,Network,false,SFP-EX-DN05,10G SFP+ transceiver,238.34,Access-Switch-DN-05,Network Closet - DN-05,59,Network Engineer,PRT-DN05-0106,Juniper
107,Access Card,11.36,Security,true,CARD-N2-DN05,Proximity access card,11.15,Access-Control-Panel-DN-05,Access Control Room - DN-05,140,Security Officer,PRT-DN05-0107,Paxton
108,Surveillance HDD,284.89,Security,false,HDD-NVR-DN05,8TB surveillance hard drive,283.64,NVR-DN-05,Video Surveillance Room - DN-05,14,Security Officer,PRT-DN05-0108,Hikvision
109,UPS Battery Module,419.53,Power,false,BATT-SRT-DN05,Replacement battery cartridge,432.19,UPS-DN-05,UPS Room - DN-05,13,Electrician,PRT-DN05-0109,APC
110,Contactor Kit,640.38,Power,false,CTK-ATS-DN05,Replacement contactor set for ATS panel,633.14,ATS-Panel-DN-05,Electrical Room - DN-05,29,Electrician,PRT-DN05-0110,Schneider Electric
111,Air Filter Kit,100.26,Cooling,true,FLT-PDX-DN05,Precision cooling filter pack,101.27,CRAC-Unit-DN-05,HVAC Plant - DN-05,82,HVAC Technician,PRT-DN05-0111,Vertiv
112,Generator Service Kit,166.8,Power,true,SVK-GEN-DN05,"Oil, air and fuel filter service kit",172.64,Generator-DN-05,Generator Yard - DN-05,327,Electrician,PRT-DN05-0112,Cummins
113,Camera Module,141.91,Security,false,CAM-KSK-DN05,Replacement facial recognition camera,143.44,Visitor-Kiosk-DN-05,Reception - DN-05,2,Security Officer,PRT-DN05-0113,ZKTeco
114,Mounting Bracket,52.46,Security,false,MBR-CAM-DN05,Outdoor mounting bracket,53.0,Loading-Bay-Camera-DN-05,Loading Bay - DN-05,26,Security Officer,PRT-DN05-0114,Hikvision
115,Radio Mount Kit,106.98,Network,false,MKT-IP20-DN05,Microwave radio mounting kit,111.59,Microwave-Radio-DN-05,Roof - DN-05,5,Field Technician,PRT-DN05-0115,Ceragon
116,LC Connector Pack,18.16,Cabling,true,LC-CONN-DN05,Single-mode LC connector pack,18.63,Fiber-Patch-Panel-DN-05,IDF Room 1 - DN-05,260,Cabling Technician,PRT-DN05-0116,Corning
117,Power Supply Module,387.19,Network,false,PSU-C93-DN05,Replacement switch power supply,387.23,Edge-Switch-DN-05,IDF Room 2 - DN-05,42,Network Engineer,PRT-DN05-0117,Cisco
118,RF Jumper Cable,78.33,Cellular,true,RFC-AIR-DN05,Low-loss RF jumper cable,80.63,5G-Antenna-DN-05,Telecom Mast - DN-05,398,Field Technician,PRT-DN05-0118,Ericsson
119,Timing Module,838.32,Cellular,false,TIM-BBU-DN05,Synchronization module for BBU,815.64,Baseband-Unit-DN-05,Base Station - DN-05,16,Field Technician,PRT-DN05-0119,Nokia
120,Surge Protector,61.82,Cellular,true,SPD-RRU-DN05,Outdoor RF surge protector,63.61,Radio-Unit-DN-05,Antenna Array - DN-05,354,Field Technician,PRT-DN05-0120,Ericsson
121,Antenna Kit,49.76,Facilities,false,ANT-IOT-DN05,LTE antenna kit for gateway,49.36,Sensor-Gateway-DN-05,Storage Room - DN-05,28,Facilities Supervisor,PRT-DN05-0121,Advantech
122,Controller SSD,276.98,Network,false,SSD-WLC-DN05,SSD for wireless controller,290.72,WiFi-Controller-DN-05,Office Floor 1 - DN-05,9,Network Engineer,PRT-DN05-0122,Cisco
123,PoE Injector,67.51,Network,false,POE-AP-DN05,802.3at PoE injector,67.76,Access-Point-DN-05,Office Floor 2 - DN-05,32,Network Engineer,PRT-DN05-0123,Aruba
124,GPU Accelerator,13456.19,Server,false,GPU-A100-DN05,NVIDIA A100 Tensor Core GPU,13508.75,AI-Analytics-Server-DN-05,Lab A - DN-05,2,AI Specialist,PRT-DN05-0124,NVIDIA
125,Capture SSD,471.47,Network,false,SSD-NMA-DN05,High-write SSD for packet capture,473.62,Monitoring-Appliance-DN-05,Workshop - DN-05,1,Network Engineer,PRT-DN05-0125,Fluke
126,SSD Module,451.42,Network,false,SSD-OBS-HP06,Enterprise SSD for monitoring appliance,446.42,Monitoring-System-HP-06,Infrastructure Site - HP-06,3,Network Engineer,PRT-HP06-0126,SolarWinds
127,Cisco Line Card,7908.44,Network,false,LC-ASR-HP06,100G line card for ASR series router,7751.87,Core-Router-HP-06,Network Operations Center (NOC) - HP-06,55,Network Engineer,PRT-HP06-0127,Cisco
128,RAID Drive,387.13,Security,false,DRV-VMS-HP06,12TB surveillance-rated HDD,388.25,Security-VMS-Server-HP-06,Security Operations Center (SOC) - HP-06,28,Security Officer,PRT-HP06-0128,Milestone
129,Server Memory Kit,604.09,Server,false,RAM-R750-HP06,64GB DDR4 RDIMM memory kit,631.28,Virtualization-Host-HP-06,Server Room A - HP-06,26,System Administrator,PRT-HP06-0129,Dell
130,NVMe SSD,1218.27,Server,false,SSD-AFF-HP06,Enterprise NVMe SSD for storage array,1188.31,Storage-Array-HP-06,Server Room B - HP-06,4,Storage Administrator,PRT-HP06-0130,NetApp
131,Juniper Transceiver,223.12,Network,false,SFP-EX-HP06,10G SFP+ transceiver,221.99,Access-Switch-HP-06,Network Closet - HP-06,31,Network Engineer,PRT-HP06-0131,Juniper
132,Access Card,12.2,Security,true,CARD-N2-HP06,Proximity access card,12.12,Access-Control-Panel-HP-06,Access Control Room - HP-06,14,Security Officer,PRT-HP06-0132,Paxton
133,Surveillance HDD,282.75,Security,false,HDD-NVR-HP06,8TB surveillance hard drive,296.36,NVR-HP-06,Video Surveillance Room - HP-06,21,Security Officer,PRT-HP06-0133,Hikvision
134,UPS Battery Module,443.65,Power,false,BATT-SRT-HP06,Replacement battery cartridge,450.44,UPS-HP-06,UPS Room - HP-06,11,Electrician,PRT-HP06-0134,APC
135,Contactor Kit,620.82,Power,false,CTK-ATS-HP06,Replacement contactor set for ATS panel,602.38,ATS-Panel-HP-06,Electrical Room - HP-06,8,Electrician,PRT-HP06-0135,Schneider Electric
136,Air Filter Kit,90.52,Cooling,true,FLT-PDX-HP06,Precision cooling filter pack,89.14,CRAC-Unit-HP-06,HVAC Plant - HP-06,13,HVAC Technician,PRT-HP06-0136,Vertiv
137,Generator Service Kit,166.86,Power,true,SVK-GEN-HP06,"Oil, air and fuel filter service kit",162.25,Generator-HP-06,Generator Yard - HP-06,111,Electrician,PRT-HP06-0137,Cummins
138,Camera Module,149.2,Security,false,CAM-KSK-HP06,Replacement facial recognition camera,144.97,Visitor-Kiosk-HP-06,Reception - HP-06,22,Security Officer,PRT-HP06-0138,ZKTeco
