ID,Status,Name,Description,Area,Parent Asset,Location Name,Barcode,Category,Assigned To,Warranty Expiry Date,Additional Info,Serial Number,Teams names,Associated Parts,Vendor,Contractor
29,OPERATIONAL,Virtualization-Host-HN-02,Dell PowerEdge R750 Virtualization Host,North,,Server Room A - HN-02,SRV-HN02,Servers,System Administrator,2030-08-04,Virtualization compute cluster node,SRVHN0246291,Server Operations,"RAM, NVMe Drives",Dell,
30,OPERATIONAL,Storage-Array-HN-02,NetApp AFF A250 Storage Array,North,,Server Room B - HN-02,SAN-HN02,Storage,Storage Administrator,2028-06-18,Shared storage array for critical workloads,SANHN0295389,Server Operations,"SSDs, Controllers",NetApp,
31,OPERATIONAL,Access-Switch-HN-02,Juniper EX4300 Access Switch,North,,Network Closet - HN-02,SW-HN02,Network Equipment,Network Engineer,2028-09-03,Access layer switch for wired users,SWHN0277802,Network Operations,"Transceivers, Fans",Juniper,
32,DOWN,Access-Control-Panel-HN-02,Paxton Net2 Plus Access Control Panel,North,,Access Control Room - HN-02,ACP-HN02,Security,Security Officer,2028-05-07,Door access control and credential management,ACPHN0288647,Security Operations,"Power Supply, Readers",Paxton,
33,OPERATIONAL,NVR-HN-02,Hikvision DS-9632NI-M8 Network Video Recorder,North,,Video Surveillance Room - HN-02,NVR-HN02,Security,Security Officer,2029-04-07,Central CCTV recording system,NVRHN0299228,Security Operations,"Hard Drives, Fans",Hikvision,
34,OPERATIONAL,UPS-HN-02,APC Smart-UPS SRT 3000VA,North,,UPS Room - HN-02,UPS-HN02,Power,Electrician,2027-10-14,Online double-conversion UPS,UPSHN0248745,Facilities,"Batteries, Fan Kits",APC,
35,DOWN,ATS-Panel-HN-02,Schneider EasyPact Automatic Transfer Switch,North,,Electrical Room - HN-02,ATS-HN02,Power,Electrician,2028-06-15,Automatic mains/generator transfer switch,ATSHN0214629,Facilities,"Breakers, Contact Kits",Schneider Electric,
36,OPERATIONAL,CRAC-Unit-HN-02,Vertiv Liebert PDX Precision Cooling Unit,North,,HVAC Plant - HN-02,CRAC-HN02,Cooling,HVAC Technician,2030-04-09,Precision cooling for IT spaces,CRACHN0284978,Facilities,"Filters, Compressor Kits",Vertiv,
37,OPERATIONAL,Generator-HN-02,Cummins C275D5 Backup Generator,North,,Generator Yard - HN-02,GEN-HN02,Power,Electrician,2028-01-24,Standby diesel generator set,GENHN0299957,Facilities,"Filters, Starter Batteries",Cummins,
38,OPERATIONAL,Visitor-Kiosk-HN-02,ZKTeco SpeedFace-V5L Visitor Kiosk,North,,Reception - HN-02,KSK-HN02,Security,Security Officer,2029-12-30,Visitor registration and facial verification terminal,KSKHN0272355,Security Operations,"Touch Panel, Camera Module",ZKTeco,
39,OPERATIONAL,Loading-Bay-Camera-HN-02,Hikvision DS-2CD2686G2 Bullet Camera,North,,Loading Bay - HN-02,CCTV-HN02,Security,Security Officer,2030-10-07,High-resolution loading dock surveillance camera,CCTVHN0249347,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
40,MAINTENANCE,Microwave-Radio-HN-02,Ceragon IP-20C Microwave Radio,North,,Roof - HN-02,MWR-HN02,Network Equipment,Field Technician,2027-12-15,Roof-top point-to-point backhaul radio,MWRHN0283170,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,SaiGon MEP Solutions
41,OPERATIONAL,Fiber-Patch-Panel-HN-02,Corning EDGE Fiber Patch Panel,North,,IDF Room 1 - HN-02,FPP-HN02,Cabling,Cabling Technician,2029-08-22,Structured fiber distribution panel,FPPHN0243902,Infrastructure,"LC Connectors, Adapter Packs",Corning,
42,OPERATIONAL,Edge-Switch-HN-02,Cisco Catalyst 9300 Edge Switch,North,Core-Router-HN-02,IDF Room 2 - HN-02,ESW-HN02,Network Equipment,Network Engineer,2030-02-18,Edge switch for floor distribution,ESWHN0299091,Network Operations,"Power Supplies, SFP Modules",Cisco,
43,OPERATIONAL,5G-Antenna-HN-02,Ericsson AIR 6488 Massive MIMO Antenna,North,,Telecom Mast - HN-02,ANT-HN02,Cellular Equipment,Field Technician,2028-11-18,5G radio antenna system,ANTHN0239272,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
44,OPERATIONAL,Baseband-Unit-HN-02,Nokia AirScale Baseband Unit,North,,Base Station - HN-02,BBU-HN02,Cellular Equipment,Field Technician,2028-09-20,Baseband processing for radio access network,BBUHN0258717,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
45,OPERATIONAL,Radio-Unit-HN-02,Ericsson Radio 4422 Remote Radio Unit,North,Baseband-Unit-HN-02,Antenna Array - HN-02,RRU-HN02,Cellular Equipment,Field Technician,2028-06-17,Remote radio head for sector coverage,RRUHN0225437,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
46,OPERATIONAL,Sensor-Gateway-HN-02,Advantech WISE-6610 IoT Gateway,North,,Storage Room - HN-02,IOT-HN02,IoT,Facilities Supervisor,2029-08-21,Environmental and utility sensor concentrator,IOTHN0293151,Facilities,"Antenna Kit, DIN Clips",Advantech,
47,OPERATIONAL,WiFi-Controller-HN-02,Cisco Catalyst 9800-L Wireless Controller,North,,Office Floor 1 - HN-02,WLC-HN02,Network Equipment,Network Engineer,2030-04-10,Centralized wireless controller,WLCHN0291350,Network Operations,"Power Supplies, SSDs",Cisco,
48,OPERATIONAL,Access-Point-HN-02,Aruba AP-515 Wireless Access Point,North,WiFi-Controller-HN-02,Office Floor 2 - HN-02,AP-HN02,Network Equipment,Network Engineer,2027-05-26,Wi-Fi 6 indoor wireless access point,APHN0235499,Network Operations,"Mounting Kit, PoE Injector",Aruba,
49,OPERATIONAL,AI-Analytics-Server-HN-02,NVIDIA DGX A100 AI Analytics Server,North,,Lab A - HN-02,AIS-HN02,Servers,AI Specialist,2029-10-21,Accelerated AI processing node,AISHN0299220,AI Operations,"GPUs, NVLink Cables",NVIDIA,
50,OPERATIONAL,Monitoring-Appliance-HN-02,Fluke OptiView XG Network Monitoring Appliance,North,,Workshop - HN-02,NMA-HN02,Network Equipment,Network Engineer,2029-02-20,Portable and fixed network diagnostics appliance,NMAHN0229762,Network Operations,"SFP Modules, SSDs",Fluke,
51,DOWN,Monitoring-System-HCM-03,SolarWinds Hybrid Cloud Observability Appliance,South,,Infrastructure Site - HCM-03,MON-HCM03,Network Equipment,Network Engineer,2027-10-09,Central site monitoring appliance,MONHCM0354914,Network Operations,"Power Supplies, SSDs",SolarWinds,
52,STANDBY,Core-Router-HCM-03,Cisco ASR 9904 Core Router,South,,Network Operations Center (NOC) - HCM-03,RTR-HCM03,Network Equipment,Network Engineer,2029-04-18,Core network routing platform,RTRHCM0369974,Network Operations,"Line Cards, Power Supplies",Cisco,
53,OPERATIONAL,Security-VMS-Server-HCM-03,Milestone Husky IVO 350R Video Management Server,South,,Security Operations Center (SOC) - HCM-03,VMS-HCM03,Security,Security Officer,2027-10-21,Video management and recording server,VMSHCM0333639,Security Operations,"RAID Drives, PSUs",Milestone,
54,OPERATIONAL,Virtualization-Host-HCM-03,Dell PowerEdge R750 Virtualization Host,South,,Server Room A - HCM-03,SRV-HCM03,Servers,System Administrator,2027-06-15,Virtualization compute cluster node,SRVHCM0392710,Server Operations,"RAM, NVMe Drives",Dell,
55,OPERATIONAL,Storage-Array-HCM-03,NetApp AFF A250 Storage Array,South,,Server Room B - HCM-03,SAN-HCM03,Storage,Storage Administrator,2027-12-29,Shared storage array for critical workloads,SANHCM0317603,Server Operations,"SSDs, Controllers",NetApp,
56,OPERATIONAL,Access-Switch-HCM-03,Juniper EX4300 Access Switch,South,,Network Closet - HCM-03,SW-HCM03,Network Equipment,Network Engineer,2027-01-10,Access layer switch for wired users,SWHCM0337444,Network Operations,"Transceivers, Fans",Juniper,
57,OPERATIONAL,Access-Control-Panel-HCM-03,Paxton Net2 Plus Access Control Panel,South,,Access Control Room - HCM-03,ACP-HCM03,Security,Security Officer,2027-12-12,Door access control and credential management,ACPHCM0330766,Security Operations,"Power Supply, Readers",Paxton,
58,MAINTENANCE,NVR-HCM-03,Hikvision DS-9632NI-M8 Network Video Recorder,South,,Video Surveillance Room - HCM-03,NVR-HCM03,Security,Security Officer,2029-09-29,Central CCTV recording system,NVRHCM0321539,Security Operations,"Hard Drives, Fans",Hikvision,Mekong Telecom Services
59,OPERATIONAL,UPS-HCM-03,APC Smart-UPS SRT 3000VA,South,,UPS Room - HCM-03,UPS-HCM03,Power,Electrician,2030-07-21,Online double-conversion UPS,UPSHCM0372573,Facilities,"Batteries, Fan Kits",APC,
60,OPERATIONAL,ATS-Panel-HCM-03,Schneider EasyPact Automatic Transfer Switch,South,,Electrical Room - HCM-03,ATS-HCM03,Power,Electrician,2029-02-24,Automatic mains/generator transfer switch,ATSHCM0358903,Facilities,"Breakers, Contact Kits",Schneider Electric,
61,DOWN,CRAC-Unit-HCM-03,Vertiv Liebert PDX Precision Cooling Unit,South,,HVAC Plant - HCM-03,CRAC-HCM03,Cooling,HVAC Technician,2027-01-29,Precision cooling for IT spaces,CRACHCM0379603,Facilities,"Filters, Compressor Kits",Vertiv,
62,OPERATIONAL,Generator-HCM-03,Cummins C275D5 Backup Generator,South,,Generator Yard - HCM-03,GEN-HCM03,Power,Electrician,2028-01-26,Standby diesel generator set,GENHCM0342613,Facilities,"Filters, Starter Batteries",Cummins,
63,OPERATIONAL,Visitor-Kiosk-HCM-03,ZKTeco SpeedFace-V5L Visitor Kiosk,South,,Reception - HCM-03,KSK-HCM03,Security,Security Officer,2028-04-08,Visitor registration and facial verification terminal,KSKHCM0355134,Security Operations,"Touch Panel, Camera Module",ZKTeco,
64,OPERATIONAL,Loading-Bay-Camera-HCM-03,Hikvision DS-2CD2686G2 Bullet Camera,South,,Loading Bay - HCM-03,CCTV-HCM03,Security,Security Officer,2028-10-01,High-resolution loading dock surveillance camera,CCTVHCM0360272,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
65,OPERATIONAL,Microwave-Radio-HCM-03,Ceragon IP-20C Microwave Radio,South,,Roof - HCM-03,MWR-HCM03,Network Equipment,Field Technician,2029-10-27,Roof-top point-to-point backhaul radio,MWRHCM0331891,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,
66,MAINTENANCE,Fiber-Patch-Panel-HCM-03,Corning EDGE Fiber Patch Panel,South,,IDF Room 1 - HCM-03,FPP-HCM03,Cabling,Cabling Technician,2027-05-14,Structured fiber distribution panel,FPPHCM0349085,Infrastructure,"LC Connectors, Adapter Packs",Corning,
67,OPERATIONAL,Edge-Switch-HCM-03,Cisco Catalyst 9300 Edge Switch,South,,IDF Room 2 - HCM-03,ESW-HCM03,Network Equipment,Network Engineer,2029-07-22,Edge switch for floor distribution,ESWHCM0354280,Network Operations,"Power Supplies, SFP Modules",Cisco,
68,DOWN,5G-Antenna-HCM-03,Ericsson AIR 6488 Massive MIMO Antenna,South,,Telecom Mast - HCM-03,ANT-HCM03,Cellular Equipment,Field Technician,2029-06-07,5G radio antenna system,ANTHCM0354922,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
69,OPERATIONAL,Baseband-Unit-HCM-03,Nokia AirScale Baseband Unit,South,,Base Station - HCM-03,BBU-HCM03,Cellular Equipment,Field Technician,2029-09-30,Baseband processing for radio access network,BBUHCM0362873,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
70,OPERATIONAL,Radio-Unit-HCM-03,Ericsson Radio 4422 Remote Radio Unit,South,Baseband-Unit-HCM-03,Antenna Array - HCM-03,RRU-HCM03,Cellular Equipment,Field Technician,2027-02-09,Remote radio head for sector coverage,RRUHCM0327197,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
71,OPERATIONAL,Sensor-Gateway-HCM-03,Advantech WISE-6610 IoT Gateway,South,,Storage Room - HCM-03,IOT-HCM03,IoT,Facilities Supervisor,2028-03-08,Environmental and utility sensor concentrator,IOTHCM0387292,Facilities,"Antenna Kit, DIN Clips",Advantech,
72,OPERATIONAL,WiFi-Controller-HCM-03,Cisco Catalyst 9800-L Wireless Controller,South,,Office Floor 1 - HCM-03,WLC-HCM03,Network Equipment,Network Engineer,2029-10-30,Centralized wireless controller,WLCHCM0358049,Network Operations,"Power Supplies, SSDs",Cisco,
73,OPERATIONAL,Access-Point-HCM-03,Aruba AP-515 Wireless Access Point,South,WiFi-Controller-HCM-03,Office Floor 2 - HCM-03,AP-HCM03,Network Equipment,Network Engineer,2030-12-27,Wi-Fi 6 indoor wireless access point,APHCM0314897,Network Operations,"Mounting Kit, PoE Injector",Aruba,
74,DOWN,AI-Analytics-Server-HCM-03,NVIDIA DGX A100 AI Analytics Server,South,,Lab A - HCM-03,AIS-HCM03,Servers,AI Specialist,2029-02-07,Accelerated AI processing node,AISHCM0343526,AI Operations,"GPUs, NVLink Cables",NVIDIA,
75,OPERATIONAL,Monitoring-Appliance-HCM-03,Fluke OptiView XG Network Monitoring Appliance,South,,Workshop - HCM-03,NMA-HCM03,Network Equipment,Network Engineer,2029-12-31,Portable and fixed network diagnostics appliance,NMAHCM0316286,Network Operations,"SFP Modules, SSDs",Fluke,
76,OPERATIONAL,Monitoring-System-HCM-04,SolarWinds Hybrid Cloud Observability Appliance,South,,Infrastructure Site - HCM-04,MON-HCM04,Network Equipment,Network Engineer,2030-09-17,Central site monitoring appliance,MONHCM0412587,Network Operations,"Power Supplies, SSDs",SolarWinds,
77,OPERATIONAL,Core-Router-HCM-04,Cisco ASR 9904 Core Router,South,,Network Operations Center (NOC) - HCM-04,RTR-HCM04,Network Equipment,Network Engineer,2027-04-09,Core network routing platform,RTRHCM0464627,Network Operations,"Line Cards, Power Supplies",Cisco,
78,OPERATIONAL,Security-VMS-Server-HCM-04,Milestone Husky IVO 350R Video Management Server,South,,Security Operations Center (SOC) - HCM-04,VMS-HCM04,Security,Security Officer,2029-06-28,Video management and recording server,VMSHCM0481733,Security Operations,"RAID Drives, PSUs",Milestone,
79,OPERATIONAL,Virtualization-Host-HCM-04,Dell PowerEdge R750 Virtualization Host,South,,Server Room A - HCM-04,SRV-HCM04,Servers,System Administrator,2028-06-01,Virtualization compute cluster node,SRVHCM0430070,Server Operations,"RAM, NVMe Drives",Dell,
80,OPERATIONAL,Storage-Array-HCM-04,NetApp AFF A250 Storage Array,South,,Server Room B - HCM-04,SAN-HCM04,Storage,Storage Administrator,2028-02-25,Shared storage array for critical workloads,SANHCM0492616,Server Operations,"SSDs, Controllers",NetApp,
81,OPERATIONAL,Access-Switch-HCM-04,Juniper EX4300 Access Switch,South,,Network Closet - HCM-04,SW-HCM04,Network Equipment,Network Engineer,2027-01-20,Access layer switch for wired users,SWHCM0496725,Network Operations,"Transceivers, Fans",Juniper,
82,OPERATIONAL,Access-Control-Panel-HCM-04,Paxton Net2 Plus Access Control Panel,South,,Access Control Room - HCM-04,ACP-HCM04,Security,Security Officer,2027-07-26,Door access control and credential management,ACPHCM0445386,Security Operations,"Power Supply, Readers",Paxton,
83,OPERATIONAL,NVR-HCM-04,Hikvision DS-9632NI-M8 Network Video Recorder,South,,Video Surveillance Room - HCM-04,NVR-HCM04,Security,Security Officer,2030-06-29,Central CCTV recording system,NVRHCM0427978,Security Operations,"Hard Drives, Fans",Hikvision,
84,MAINTENANCE,UPS-HCM-04,APC Smart-UPS SRT 3000VA,South,,UPS Room - HCM-04,UPS-HCM04,Power,Electrician,2029-05-07,Online double-conversion UPS,UPSHCM0490962,Facilities,"Batteries, Fan Kits",APC,SaiGon MEP Solutions
85,OPERATIONAL,ATS-Panel-HCM-04,Schneider EasyPact Automatic Transfer Switch,South,,Electrical Room - HCM-04,ATS-HCM04,Power,Electrician,2027-08-06,Automatic mains/generator transfer switch,ATSHCM0444471,Facilities,"Breakers, Contact Kits",Schneider Electric,
86,STANDBY,CRAC-Unit-HCM-04,Vertiv Liebert PDX Precision Cooling Unit,South,,HVAC Plant - HCM-04,CRAC-HCM04,Cooling,HVAC Technician,2029-12-07,Precision cooling for IT spaces,CRACHCM0456913,Facilities,"Filters, Compressor Kits",Vertiv,
87,OPERATIONAL,Generator-HCM-04,Cummins C275D5 Backup Generator,South,,Generator Yard - HCM-04,GEN-HCM04,Power,Electrician,2030-12-11,Standby diesel generator set,GENHCM0481845,Facilities,"Filters, Starter Batteries",Cummins,
88,DOWN,Visitor-Kiosk-HCM-04,ZKTeco SpeedFace-V5L Visitor Kiosk,South,,Reception - HCM-04,KSK-HCM04,Security,Security Officer,2029-10-13,Visitor registration and facial verification terminal,KSKHCM0473001,Security Operations,"Touch Panel, Camera Module",ZKTeco,
89,OPERATIONAL,Loading-Bay-Camera-HCM-04,Hikvision DS-2CD2686G2 Bullet Camera,South,,Loading Bay - HCM-04,CCTV-HCM04,Security,Security Officer,2028-11-08,High-resolution loading dock surveillance camera,CCTVHCM0411671,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
90,OPERATIONAL,Microwave-Radio-HCM-04,Ceragon IP-20C Microwave Radio,South,,Roof - HCM-04,MWR-HCM04,Network Equipment,Field Technician,2030-10-07,Roof-top point-to-point backhaul radio,MWRHCM0424474,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,
91,OPERATIONAL,Fiber-Patch-Panel-HCM-04,Corning EDGE Fiber Patch Panel,South,,IDF Room 1 - HCM-04,FPP-HCM04,Cabling,Cabling Technician,2030-03-21,Structured fiber distribution panel,FPPHCM0429548,Infrastructure,"LC Connectors, Adapter Packs",Corning,
92,OPERATIONAL,Edge-Switch-HCM-04,Cisco Catalyst 9300 Edge Switch,South,Core-Router-HCM-04,IDF Room 2 - HCM-04,ESW-HCM04,Network Equipment,Network Engineer,2027-07-04,Edge switch for floor distribution,ESWHCM0423276,Network Operations,"Power Supplies, SFP Modules",Cisco,
93,OPERATIONAL,5G-Antenna-HCM-04,Ericsson AIR 6488 Massive MIMO Antenna,South,,Telecom Mast - HCM-04,ANT-HCM04,Cellular Equipment,Field Technician,2028-06-08,5G radio antenna system,ANTHCM0448800,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
94,OPERATIONAL,Baseband-Unit-HCM-04,Nokia AirScale Baseband Unit,South,,Base Station - HCM-04,BBU-HCM04,Cellular Equipment,Field Technician,2028-06-24,Baseband processing for radio access network,BBUHCM0432898,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
95,MAINTENANCE,Radio-Unit-HCM-04,Ericsson Radio 4422 Remote Radio Unit,South,Baseband-Unit-HCM-04,Antenna Array - HCM-04,RRU-HCM04,Cellular Equipment,Field Technician,2027-03-22,Remote radio head for sector coverage,RRUHCM0498705,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,SaiGon MEP Solutions
96,MAINTENANCE,Sensor-Gateway-HCM-04,Advantech WISE-6610 IoT Gateway,South,,Storage Room - HCM-04,IOT-HCM04,IoT,Facilities Supervisor,2027-07-14,Environmental and utility sensor concentrator,IOTHCM0416014,Facilities,"Antenna Kit, DIN Clips",Advantech,HaNoi Cooling Services
97,OPERATIONAL,WiFi-Controller-HCM-04,Cisco Catalyst 9800-L Wireless Controller,South,,Office Floor 1 - HCM-04,WLC-HCM04,Network Equipment,Network Engineer,2030-09-20,Centralized wireless controller,WLCHCM0453078,Network Operations,"Power Supplies, SSDs",Cisco,
98,DOWN,Access-Point-HCM-04,Aruba AP-515 Wireless Access Point,South,WiFi-Controller-HCM-04,Office Floor 2 - HCM-04,AP-HCM04,Network Equipment,Network Engineer,2029-01-02,Wi-Fi 6 indoor wireless access point,APHCM0491501,Network Operations,"Mounting Kit, PoE Injector",Aruba,
99,DOWN,AI-Analytics-Server-HCM-04,NVIDIA DGX A100 AI Analytics Server,South,,Lab A - HCM-04,AIS-HCM04,Servers,AI Specialist,2028-07-03,Accelerated AI processing node,AISHCM0422183,AI Operations,"GPUs, NVLink Cables",NVIDIA,
100,MAINTENANCE,Monitoring-Appliance-HCM-04,Fluke OptiView XG Network Monitoring Appliance,South,Monitoring-System-HCM-04,Workshop - HCM-04,NMA-HCM04,Network Equipment,Network Engineer,2029-02-02,Portable and fixed network diagnostics appliance,NMAHCM0462530,Network Operations,"SFP Modules, SSDs",Fluke,Danang Engineering Works
