name,unit,update_frequency,meter_category_id,image_file_id,demo,location_id,asset_id
ATS Transfer Count - HCM-03,Transfers/month,30,,,FALSE,60,60
Cooling Supply Air Temperature - HCM-03,Celsius,10,,,FALSE,61,61
Generator Fuel Level - HCM-03,%,30,,,FALSE,62,62
Visitor Kiosk Uptime - HCM-03,Hours,15,,,FALSE,63,63
Camera Uptime - HCM-03,Hours,10,,,FALSE,64,64
Backhaul Signal Strength - HCM-03,dBm,2,,,FALSE,65,65
Optical Link Loss - HCM-03,dB,15,,,FALSE,66,66
Edge Switch Utilization - HCM-03,%,3,,,FALSE,67,67
5G Sector Throughput - HCM-03,Mbps,2,,,FALSE,68,68
Baseband CPU Load - HCM-03,%,2,,,FALSE,69,69
RRU VSWR - HCM-03,ratio,5,,,FALSE,70,70
Gateway Packet Count - HCM-03,Packets/min,10,,,FALSE,71,71
Wireless Client Count - HCM-03,Clients,5,,,FALSE,72,72
AP Channel Utilization - HCM-03,%,5,,,FALSE,73,73
GPU Usage - HCM-03,%,1,,,FALSE,74,74
Packet Capture Buffer Usage - HCM-03,%,10,,,FALSE,75,75
Monitoring Appliance CPU Usage - HCM-04,%,5,,,FALSE,76,76
Router CPU Usage - HCM-04,%,3,,,FALSE,77,77
VMS Storage Utilization - HCM-04,%,10,,,FALSE,78,78
Server Temperature - HCM-04,Celsius,7,,,FALSE,79,79
Storage Latency - HCM-04,ms,5,,,FALSE,80,80
Switch Port Error Rate - HCM-04,Errors/sec,2,,,FALSE,81,81
Access Control Events - HCM-04,Events/day,2,,,FALSE,82,82
Video Recorder Disk Health - HCM-04,%,15,,,FALSE,83,83
UPS Battery Charge - HCM-04,%,5,,,FALSE,84,84
ATS Transfer Count - HCM-04,Transfers/month,30,,,FALSE,85,85
Cooling Supply Air Temperature - HCM-04,Celsius,10,,,FALSE,86,86
Generator Fuel Level - HCM-04,%,30,,,FALSE,87,87
Visitor Kiosk Uptime - HCM-04,Hours,15,,,FALSE,88,88
Camera Uptime - HCM-04,Hours,10,,,FALSE,89,89
Backhaul Signal Strength - HCM-04,dBm,2,,,FALSE,90,90
Optical Link Loss - HCM-04,dB,15,,,FALSE,91,91
Edge Switch Utilization - HCM-04,%,3,,,FALSE,92,92
5G Sector Throughput - HCM-04,Mbps,2,,,FALSE,93,93
Baseband CPU Load - HCM-04,%,2,,,FALSE,94,94
RRU VSWR - HCM-04,ratio,5,,,FALSE,95,95
Gateway Packet Count - HCM-04,Packets/min,10,,,FALSE,96,96
Wireless Client Count - HCM-04,Clients,5,,,FALSE,97,97
AP Channel Utilization - HCM-04,%,5,,,FALSE,98,98
GPU Usage - HCM-04,%,1,,,FALSE,99,99
Packet Capture Buffer Usage - HCM-04,%,10,,,FALSE,100,100
Monitoring Appliance CPU Usage - DN-05,%,5,,,FALSE,101,101
Router CPU Usage - DN-05,%,3,,,FALSE,102,102
VMS Storage Utilization - DN-05,%,10,,,FALSE,103,103
Server Temperature - DN-05,Celsius,7,,,FALSE,104,104
Storage Latency - DN-05,ms,5,,,FALSE,105,105
Switch Port Error Rate - DN-05,Errors/sec,2,,,FALSE,106,106
Access Control Events - DN-05,Events/day,2,,,FALSE,107,107
Video Recorder Disk Health - DN-05,%,15,,,FALSE,108,108
UPS Battery Charge - DN-05,%,5,,,FALSE,109,109
ATS Transfer Count - DN-05,Transfers/month,30,,,FALSE,110,110
Cooling Supply Air Temperature - DN-05,Celsius,10,,,FALSE,111,111
Generator Fuel Level - DN-05,%,30,,,FALSE,112,112
Visitor Kiosk Uptime - DN-05,Hours,15,,,FALSE,113,113
Camera Uptime - DN-05,Hours,10,,,FALSE,114,114
Backhaul Signal Strength - DN-05,dBm,2,,,FALSE,115,115
Optical Link Loss - DN-05,dB,15,,,FALSE,116,116
Edge Switch Utilization - DN-05,%,3,,,FALSE,117,117
5G Sector Throughput - DN-05,Mbps,2,,,FALSE,118,118
Baseband CPU Load - DN-05,%,2,,,FALSE,119,119
RRU VSWR - DN-05,ratio,5,,,FALSE,120,120
Gateway Packet Count - DN-05,Packets/min,10,,,FALSE,121,121
Wireless Client Count - DN-05,Clients,5,,,FALSE,122,122
AP Channel Utilization - DN-05,%,5,,,FALSE,123,123
GPU Usage - DN-05,%,1,,,FALSE,124,124
Packet Capture Buffer Usage - DN-05,%,10,,,FALSE,125,125
Monitoring Appliance CPU Usage - HP-06,%,5,,,FALSE,126,126
Router CPU Usage - HP-06,%,3,,,FALSE,127,127
VMS Storage Utilization - HP-06,%,10,,,FALSE,128,128
Server Temperature - HP-06,Celsius,7,,,FALSE,129,129
Storage Latency - HP-06,ms,5,,,FALSE,130,130
Switch Port Error Rate - HP-06,Errors/sec,2,,,FALSE,131,131
Access Control Events - HP-06,Events/day,2,,,FALSE,132,132
Video Recorder Disk Health - HP-06,%,15,,,FALSE,133,133
UPS Battery Charge - HP-06,%,5,,,FALSE,134,134
ATS Transfer Count - HP-06,Transfers/month,30,,,FALSE,135,135
Cooling Supply Air Temperature - HP-06,Celsius,10,,,FALSE,136,136
Generator Fuel Level - HP-06,%,30,,,FALSE,137,137
Visitor Kiosk Uptime - HP-06,Hours,15,,,FALSE,138,138
Camera Uptime - HP-06,Hours,10,,,FALSE,139,139
Backhaul Signal Strength - HP-06,dBm,2,,,FALSE,140,140
Optical Link Loss - HP-06,dB,15,,,FALSE,141,141
Edge Switch Utilization - HP-06,%,3,,,FALSE,142,142
5G Sector Throughput - HP-06,Mbps,2,,,FALSE,143,143
Baseband CPU Load - HP-06,%,2,,,FALSE,144,144
RRU VSWR - HP-06,ratio,5,,,FALSE,145,145
Gateway Packet Count - HP-06,Packets/min,10,,,FALSE,146,146
Wireless Client Count - HP-06,Clients,5,,,FALSE,147,147
AP Channel Utilization - HP-06,%,5,,,FALSE,148,148
GPU Usage - HP-06,%,1,,,FALSE,149,149
Packet Capture Buffer Usage - HP-06,%,10,,,FALSE,150,150
Monitoring Appliance CPU Usage - CT-07,%,5,,,FALSE,151,151
Router CPU Usage - CT-07,%,3,,,FALSE,152,152
VMS Storage Utilization - CT-07,%,10,,,FALSE,153,153
Server Temperature - CT-07,Celsius,7,,,FALSE,154,154
Storage Latency - CT-07,ms,5,,,FALSE,155,155
Switch Port Error Rate - CT-07,Errors/sec,2,,,FALSE,156,156
Access Control Events - CT-07,Events/day,2,,,FALSE,157,157
Video Recorder Disk Health - CT-07,%,15,,,FALSE,158,158
UPS Battery Charge - CT-07,%,5,,,FALSE,159,159
ATS Transfer Count - CT-07,Transfers/month,30,,,FALSE,160,160
Cooling Supply Air Temperature - CT-07,Celsius,10,,,FALSE,161,161
Generator Fuel Level - CT-07,%,30,,,FALSE,162,162
Visitor Kiosk Uptime - CT-07,Hours,15,,,FALSE,163,163
Camera Uptime - CT-07,Hours,10,,,FALSE,164,164
Backhaul Signal Strength - CT-07,dBm,2,,,FALSE,165,165
Optical Link Loss - CT-07,dB,15,,,FALSE,166,166
Edge Switch Utilization - CT-07,%,3,,,FALSE,167,167
5G Sector Throughput - CT-07,Mbps,2,,,FALSE,168,168
Baseband CPU Load - CT-07,%,2,,,FALSE,169,169
RRU VSWR - CT-07,ratio,5,,,FALSE,170,170
Gateway Packet Count - CT-07,Packets/min,10,,,FALSE,171,171
Wireless Client Count - CT-07,Clients,5,,,FALSE,172,172
AP Channel Utilization - CT-07,%,5,,,FALSE,173,173
GPU Usage - CT-07,%,1,,,FALSE,174,174
Packet Capture Buffer Usage - CT-07,%,10,,,FALSE,175,175
Monitoring Appliance CPU Usage - BD-08,%,5,,,FALSE,176,176
Router CPU Usage - BD-08,%,3,,,FALSE,177,177
VMS Storage Utilization - BD-08,%,10,,,FALSE,178,178
Server Temperature - BD-08,Celsius,7,,,FALSE,179,179
Storage Latency - BD-08,ms,5,,,FALSE,180,180
Switch Port Error Rate - BD-08,Errors/sec,2,,,FALSE,181,181
Access Control Events - BD-08,Events/day,2,,,FALSE,182,182
Video Recorder Disk Health - BD-08,%,15,,,FALSE,183,183
UPS Battery Charge - BD-08,%,5,,,FALSE,184,184
ATS Transfer Count - BD-08,Transfers/month,30,,,FALSE,185,185
Cooling Supply Air Temperature - BD-08,Celsius,10,,,FALSE,186,186
Generator Fuel Level - BD-08,%,30,,,FALSE,187,187
Visitor Kiosk Uptime - BD-08,Hours,15,,,FALSE,188,188
Camera Uptime - BD-08,Hours,10,,,FALSE,189,189
Backhaul Signal Strength - BD-08,dBm,2,,,FALSE,190,190
Optical Link Loss - BD-08,dB,15,,,FALSE,191,191
Edge Switch Utilization - BD-08,%,3,,,FALSE,192,192
5G Sector Throughput - BD-08,Mbps,2,,,FALSE,193,193
Baseband CPU Load - BD-08,%,2,,,FALSE,194,194
RRU VSWR - BD-08,ratio,5,,,FALSE,195,195
Gateway Packet Count - BD-08,Packets/min,10,,,FALSE,196,196
Wireless Client Count - BD-08,Clients,5,,,FALSE,197,197
AP Channel Utilization - BD-08,%,5,,,FALSE,198,198
GPU Usage - BD-08,%,1,,,FALSE,199,199
Packet Capture Buffer Usage - BD-08,%,10,,,FALSE,200,200
Monitoring Appliance CPU Usage - HN-09,%,5,,,FALSE,201,201
Router CPU Usage - HN-09,%,3,,,FALSE,202,202
VMS Storage Utilization - HN-09,%,10,,,FALSE,203,203
Server Temperature - HN-09,Celsius,7,,,FALSE,204,204
Storage Latency - HN-09,ms,5,,,FALSE,205,205
Switch Port Error Rate - HN-09,Errors/sec,2,,,FALSE,206,206
Access Control Events - HN-09,Events/day,2,,,FALSE,207,207
Video Recorder Disk Health - HN-09,%,15,,,FALSE,208,208
UPS Battery Charge - HN-09,%,5,,,FALSE,209,209
ATS Transfer Count - HN-09,Transfers/month,30,,,FALSE,210,210
Cooling Supply Air Temperature - HN-09,Celsius,10,,,FALSE,211,211
Generator Fuel Level - HN-09,%,30,,,FALSE,212,212
Visitor Kiosk Uptime - HN-09,Hours,15,,,FALSE,213,213
Camera Uptime - HN-09,Hours,10,,,FALSE,214,214
Backhaul Signal Strength - HN-09,dBm,2,,,FALSE,215,215
Optical Link Loss - HN-09,dB,15,,,FALSE,216,216
Edge Switch Utilization - HN-09,%,3,,,FALSE,217,217
5G Sector Throughput - HN-09,Mbps,2,,,FALSE,218,218
Baseband CPU Load - HN-09,%,2,,,FALSE,219,219
RRU VSWR - HN-09,ratio,5,,,FALSE,220,220
Gateway Packet Count - HN-09,Packets/min,10,,,FALSE,221,221
Wireless Client Count - HN-09,Clients,5,,,FALSE,222,222
AP Channel Utilization - HN-09,%,5,,,FALSE,223,223
GPU Usage - HN-09,%,1,,,FALSE,224,224
Packet Capture Buffer Usage - HN-09,%,10,,,FALSE,225,225
Monitoring Appliance CPU Usage - HN-10,%,5,,,FALSE,226,226
Router CPU Usage - HN-10,%,3,,,FALSE,227,227
VMS Storage Utilization - HN-10,%,10,,,FALSE,228,228
Server Temperature - HN-10,Celsius,7,,,FALSE,229,229
Storage Latency - HN-10,ms,5,,,FALSE,230,230
Switch Port Error Rate - HN-10,Errors/sec,2,,,FALSE,231,231
Access Control Events - HN-10,Events/day,2,,,FALSE,232,232
Video Recorder Disk Health - HN-10,%,15,,,FALSE,233,233
UPS Battery Charge - HN-10,%,5,,,FALSE,234,234
ATS Transfer Count - HN-10,Transfers/month,30,,,FALSE,235,235
Cooling Supply Air Temperature - HN-10,Celsius,10,,,FALSE,236,236
Generator Fuel Level - HN-10,%,30,,,FALSE,237,237
Visitor Kiosk Uptime - HN-10,Hours,15,,,FALSE,238,238
Camera Uptime - HN-10,Hours,10,,,FALSE,239,239
Backhaul Signal Strength - HN-10,dBm,2,,,FALSE,240,240
Optical Link Loss - HN-10,dB,15,,,FALSE,241,241
Edge Switch Utilization - HN-10,%,3,,,FALSE,242,242
5G Sector Throughput - HN-10,Mbps,2,,,FALSE,243,243
Baseband CPU Load - HN-10,%,2,,,FALSE,244,244
RRU VSWR - HN-10,ratio,5,,,FALSE,245,245
Gateway Packet Count - HN-10,Packets/min,10,,,FALSE,246,246
Wireless Client Count - HN-10,Clients,5,,,FALSE,247,247
AP Channel Utilization - HN-10,%,5,,,FALSE,248,248
GPU Usage - HN-10,%,1,,,FALSE,249,249
Packet Capture Buffer Usage - HN-10,%,10,,,FALSE,250,250
Monitoring Appliance CPU Usage - HCM-11,%,5,,,FALSE,251,251
Router CPU Usage - HCM-11,%,3,,,FALSE,252,252
VMS Storage Utilization - HCM-11,%,10,,,FALSE,253,253
Server Temperature - HCM-11,Celsius,7,,,FALSE,254,254
Storage Latency - HCM-11,ms,5,,,FALSE,255,255
Switch Port Error Rate - HCM-11,Errors/sec,2,,,FALSE,256,256
Access Control Events - HCM-11,Events/day,2,,,FALSE,257,257
Video Recorder Disk Health - HCM-11,%,15,,,FALSE,258,258
UPS Battery Charge - HCM-11,%,5,,,FALSE,259,259
ATS Transfer Count - HCM-11,Transfers/month,30,,,FALSE,260,260
Cooling Supply Air Temperature - HCM-11,Celsius,10,,,FALSE,261,261
Generator Fuel Level - HCM-11,%,30,,,FALSE,262,262
Visitor Kiosk Uptime - HCM-11,Hours,15,,,FALSE,263,263
Camera Uptime - HCM-11,Hours,10,,,FALSE,264,264
Backhaul Signal Strength - HCM-11,dBm,2,,,FALSE,265,265
Optical Link Loss - HCM-11,dB,15,,,FALSE,266,266
Edge Switch Utilization - HCM-11,%,3,,,FALSE,267,267
5G Sector Throughput - HCM-11,Mbps,2,,,FALSE,268,268
Baseband CPU Load - HCM-11,%,2,,,FALSE,269,269
RRU VSWR - HCM-11,ratio,5,,,FALSE,270,270
Gateway Packet Count - HCM-11,Packets/min,10,,,FALSE,271,271
Wireless Client Count - HCM-11,Clients,5,,,FALSE,272,272
AP Channel Utilization - HCM-11,%,5,,,FALSE,273,273
GPU Usage - HCM-11,%,1,,,FALSE,274,274
Packet Capture Buffer Usage - HCM-11,%,10,,,FALSE,275,275
Monitoring Appliance CPU Usage - HCM-12,%,5,,,FALSE,276,276
Router CPU Usage - HCM-12,%,3,,,FALSE,277,277
VMS Storage Utilization - HCM-12,%,10,,,FALSE,278,278
Server Temperature - HCM-12,Celsius,7,,,FALSE,279,279
Storage Latency - HCM-12,ms,5,,,FALSE,280,280
Switch Port Error Rate - HCM-12,Errors/sec,2,,,FALSE,281,281
Access Control Events - HCM-12,Events/day,2,,,FALSE,282,282
Video Recorder Disk Health - HCM-12,%,15,,,FALSE,283,283
UPS Battery Charge - HCM-12,%,5,,,FALSE,284,284
ATS Transfer Count - HCM-12,Transfers/month,30,,,FALSE,285,285
Cooling Supply Air Temperature - HCM-12,Celsius,10,,,FALSE,286,286
Generator Fuel Level - HCM-12,%,30,,,FALSE,287,287
Visitor Kiosk Uptime - HCM-12,Hours,15,,,FALSE,288,288
Camera Uptime - HCM-12,Hours,10,,,FALSE,289,289
Backhaul Signal Strength - HCM-12,dBm,2,,,FALSE,290,290
Optical Link Loss - HCM-12,dB,15,,,FALSE,291,291
Edge Switch Utilization - HCM-12,%,3,,,FALSE,292,292
5G Sector Throughput - HCM-12,Mbps,2,,,FALSE,293,293
Baseband CPU Load - HCM-12,%,2,,,FALSE,294,294
RRU VSWR - HCM-12,ratio,5,,,FALSE,295,295
Gateway Packet Count - HCM-12,Packets/min,10,,,FALSE,296,296
Wireless Client Count - HCM-12,Clients,5,,,FALSE,297,297
AP Channel Utilization - HCM-12,%,5,,,FALSE,298,298
GPU Usage - HCM-12,%,1,,,FALSE,299,299
Packet Capture Buffer Usage - HCM-12,%,10,,,FALSE,300,300
Monitoring Appliance CPU Usage - DN-13,%,5,,,FALSE,301,301
Router CPU Usage - DN-13,%,3,,,FALSE,302,302
VMS Storage Utilization - DN-13,%,10,,,FALSE,303,303
Server Temperature - DN-13,Celsius,7,,,FALSE,304,304
Storage Latency - DN-13,ms,5,,,FALSE,305,305
Switch Port Error Rate - DN-13,Errors/sec,2,,,FALSE,306,306
Access Control Events - DN-13,Events/day,2,,,FALSE,307,307
Video Recorder Disk Health - DN-13,%,15,,,FALSE,308,308
UPS Battery Charge - DN-13,%,5,,,FALSE,309,309
ATS Transfer Count - DN-13,Transfers/month,30,,,FALSE,310,310
Cooling Supply Air Temperature - DN-13,Celsius,10,,,FALSE,311,311
Generator Fuel Level - DN-13,%,30,,,FALSE,312,312
Visitor Kiosk Uptime - DN-13,Hours,15,,,FALSE,313,313
Camera Uptime - DN-13,Hours,10,,,FALSE,314,314
Backhaul Signal Strength - DN-13,dBm,2,,,FALSE,315,315
Optical Link Loss - DN-13,dB,15,,,FALSE,316,316
Edge Switch Utilization - DN-13,%,3,,,FALSE,317,317
5G Sector Throughput - DN-13,Mbps,2,,,FALSE,318,318
Baseband CPU Load - DN-13,%,2,,,FALSE,319,319
RRU VSWR - DN-13,ratio,5,,,FALSE,320,320
Gateway Packet Count - DN-13,Packets/min,10,,,FALSE,321,321
Wireless Client Count - DN-13,Clients,5,,,FALSE,322,322
AP Channel Utilization - DN-13,%,5,,,FALSE,323,323
GPU Usage - DN-13,%,1,,,FALSE,324,324
Packet Capture Buffer Usage - DN-13,%,10,,,FALSE,325,325
Monitoring Appliance CPU Usage - HP-14,%,5,,,FALSE,326,326
Router CPU Usage - HP-14,%,3,,,FALSE,327,327
VMS Storage Utilization - HP-14,%,10,,,FALSE,328,328
Server Temperature - HP-14,Celsius,7,,,FALSE,329,329
Storage Latency - HP-14,ms,5,,,FALSE,330,330
Switch Port Error Rate - HP-14,Errors/sec,2,,,FALSE,331,331
Access Control Events - HP-14,Events/day,2,,,FALSE,332,332
Video Recorder Disk Health - HP-14,%,15,,,FALSE,333,333
UPS Battery Charge - HP-14,%,5,,,FALSE,334,334
ATS Transfer Count - HP-14,Transfers/month,30,,,FALSE,335,335
Cooling Supply Air Temperature - HP-14,Celsius,10,,,FALSE,336,336
Generator Fuel Level - HP-14,%,30,,,FALSE,337,337
Visitor Kiosk Uptime - HP-14,Hours,15,,,FALSE,338,338
Camera Uptime - HP-14,Hours,10,,,FALSE,339,339
Backhaul Signal Strength - HP-14,dBm,2,,,FALSE,340,340
Optical Link Loss - HP-14,dB,15,,,FALSE,341,341
Edge Switch Utilization - HP-14,%,3,,,FALSE,342,342
5G Sector Throughput - HP-14,Mbps,2,,,FALSE,343,343
Baseband CPU Load - HP-14,%,2,,,FALSE,344,344
RRU VSWR - HP-14,ratio,5,,,FALSE,345,345
Gateway Packet Count - HP-14,Packets/min,10,,,FALSE,346,346
Wireless Client Count - HP-14,Clients,5,,,FALSE,347,347
AP Channel Utilization - HP-14,%,5,,,FALSE,348,348
GPU Usage - HP-14,%,1,,,FALSE,349,349
Packet Capture Buffer Usage - HP-14,%,10,,,FALSE,350,350
Monitoring Appliance CPU Usage - CT-15,%,5,,,FALSE,351,351
Router CPU Usage - CT-15,%,3,,,FALSE,352,352
VMS Storage Utilization - CT-15,%,10,,,FALSE,353,353
Server Temperature - CT-15,Celsius,7,,,FALSE,354,354
Storage Latency - CT-15,ms,5,,,FALSE,355,355
Switch Port Error Rate - CT-15,Errors/sec,2,,,FALSE,356,356
Access Control Events - CT-15,Events/day,2,,,FALSE,357,357
Video Recorder Disk Health - CT-15,%,15,,,FALSE,358,358
UPS Battery Charge - CT-15,%,5,,,FALSE,359,359
ATS Transfer Count - CT-15,Transfers/month,30,,,FALSE,360,360
Cooling Supply Air Temperature - CT-15,Celsius,10,,,FALSE,361,361
Generator Fuel Level - CT-15,%,30,,,FALSE,362,362
Visitor Kiosk Uptime - CT-15,Hours,15,,,FALSE,363,363
Camera Uptime - CT-15,Hours,10,,,FALSE,364,364
Backhaul Signal Strength - CT-15,dBm,2,,,FALSE,365,365
Optical Link Loss - CT-15,dB,15,,,FALSE,366,366
Edge Switch Utilization - CT-15,%,3,,,FALSE,367,367
5G Sector Throughput - CT-15,Mbps,2,,,FALSE,368,368
Baseband CPU Load - CT-15,%,2,,,FALSE,369,369
RRU VSWR - CT-15,ratio,5,,,FALSE,370,370
Gateway Packet Count - CT-15,Packets/min,10,,,FALSE,371,371
Wireless Client Count - CT-15,Clients,5,,,FALSE,372,372
AP Channel Utilization - CT-15,%,5,,,FALSE,373,373
GPU Usage - CT-15,%,1,,,FALSE,374,374
Packet Capture Buffer Usage - CT-15,%,10,,,FALSE,375,375
Monitoring Appliance CPU Usage - BD-16,%,5,,,FALSE,376,376
Router CPU Usage - BD-16,%,3,,,FALSE,377,377
VMS Storage Utilization - BD-16,%,10,,,FALSE,378,378
Server Temperature - BD-16,Celsius,7,,,FALSE,379,379
Storage Latency - BD-16,ms,5,,,FALSE,380,380
Switch Port Error Rate - BD-16,Errors/sec,2,,,FALSE,381,381
Access Control Events - BD-16,Events/day,2,,,FALSE,382,382
Video Recorder Disk Health - BD-16,%,15,,,FALSE,383,383
UPS Battery Charge - BD-16,%,5,,,FALSE,384,384
ATS Transfer Count - BD-16,Transfers/month,30,,,FALSE,385,385
Cooling Supply Air Temperature - BD-16,Celsius,10,,,FALSE,386,386
Generator Fuel Level - BD-16,%,30,,,FALSE,387,387
Visitor Kiosk Uptime - BD-16,Hours,15,,,FALSE,388,388
Camera Uptime - BD-16,Hours,10,,,FALSE,389,389
Backhaul Signal Strength - BD-16,dBm,2,,,FALSE,390,390
Optical Link Loss - BD-16,dB,15,,,FALSE,391,391
Edge Switch Utilization - BD-16,%,3,,,FALSE,392,392
5G Sector Throughput - BD-16,Mbps,2,,,FALSE,393,393
Baseband CPU Load - BD-16,%,2,,,FALSE,394,394
RRU VSWR - BD-16,ratio,5,,,FALSE,395,395
Gateway Packet Count - BD-16,Packets/min,10,,,FALSE,396,396
Wireless Client Count - BD-16,Clients,5,,,FALSE,397,397
AP Channel Utilization - BD-16,%,5,,,FALSE,398,398
GPU Usage - BD-16,%,1,,,FALSE,399,399
Packet Capture Buffer Usage - BD-16,%,10,,,FALSE,400,400
Monitoring Appliance CPU Usage - HN-17,%,5,,,FALSE,401,401
Router CPU Usage - HN-17,%,3,,,FALSE,402,402
VMS Storage Utilization - HN-17,%,10,,,FALSE,403,403
Server Temperature - HN-17,Celsius,7,,,FALSE,404,404
Storage Latency - HN-17,ms,5,,,FALSE,405,405
Switch Port Error Rate - HN-17,Errors/sec,2,,,FALSE,406,406
Access Control Events - HN-17,Events/day,2,,,FALSE,407,407
Video Recorder Disk Health - HN-17,%,15,,,FALSE,408,408
UPS Battery Charge - HN-17,%,5,,,FALSE,409,409
ATS Transfer Count - HN-17,Transfers/month,30,,,FALSE,410,410
Cooling Supply Air Temperature - HN-17,Celsius,10,,,FALSE,411,411
Generator Fuel Level - HN-17,%,30,,,FALSE,412,412
Visitor Kiosk Uptime - HN-17,Hours,15,,,FALSE,413,413
Camera Uptime - HN-17,Hours,10,,,FALSE,414,414
Backhaul Signal Strength - HN-17,dBm,2,,,FALSE,415,415
Optical Link Loss - HN-17,dB,15,,,FALSE,416,416
Edge Switch Utilization - HN-17,%,3,,,FALSE,417,417
5G Sector Throughput - HN-17,Mbps,2,,,FALSE,418,418
Baseband CPU Load - HN-17,%,2,,,FALSE,419,419
RRU VSWR - HN-17,ratio,5,,,FALSE,420,420
Gateway Packet Count - HN-17,Packets/min,10,,,FALSE,421,421
Wireless Client Count - HN-17,Clients,5,,,FALSE,422,422
AP Channel Utilization - HN-17,%,5,,,FALSE,423,423
GPU Usage - HN-17,%,1,,,FALSE,424,424
Packet Capture Buffer Usage - HN-17,%,10,,,FALSE,425,425
Monitoring Appliance CPU Usage - HN-18,%,5,,,FALSE,426,426
Router CPU Usage - HN-18,%,3,,,FALSE,427,427
VMS Storage Utilization - HN-18,%,10,,,FALSE,428,428
Server Temperature - HN-18,Celsius,7,,,FALSE,429,429
Storage Latency - HN-18,ms,5,,,FALSE,430,430
Switch Port Error Rate - HN-18,Errors/sec,2,,,FALSE,431,431
Access Control Events - HN-18,Events/day,2,,,FALSE,432,432
Video Recorder Disk Health - HN-18,%,15,,,FALSE,433,433
UPS Battery Charge - HN-18,%,5,,,FALSE,434,434
ATS Transfer Count - HN-18,Transfers/month,30,,,FALSE,435,435
