name,address,parent_location,vendors,contractors
Workshop - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Vertiv, Ericsson, Fortinet",Alpha Secure Systems
Infrastructure Site - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",,"Juniper, APC, Cisco",
Network Operations Center (NOC) - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Hikvision, Nokia, Fortinet",VN Facilities Services
Security Operations Center (SOC) - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Hikvision, Juniper, Cisco",
Server Room A - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Juniper, Ericsson, Hikvision",Danang Engineering Works
Server Room B - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Hikvision, Ericsson, Dell",
Network Closet - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Nokia, Fortinet, Vertiv",Danang Engineering Works
Access Control Room - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Aruba, Schneider Electric, Hikvision",Mekong Telecom Services
Video Surveillance Room - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"APC, Schneider Electric, Aruba",
UPS Room - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"NVIDIA, Cisco, Corning",
Electrical Room - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Corning, Juniper, Cisco",
HVAC Plant - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"APC, Aruba, Juniper",Alpha Secure Systems
Generator Yard - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Ericsson, Vertiv, Dell",
Reception - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Paxton, Vertiv, Hikvision",
Loading Bay - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Juniper, Vertiv, Ericsson",VN Facilities Services
Roof - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Juniper, Aruba, Hikvision",Danang Engineering Works
IDF Room 1 - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Office Floor 1 - HCM-03,"Vertiv, Hikvision, Schneider Electric",
IDF Room 2 - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Office Floor 2 - HCM-03,"Dell, Schneider Electric, Cisco",
Telecom Mast - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Roof - HCM-03,"Paxton, Aruba, Vertiv",Danang Engineering Works
Base Station - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-03,"Dell, Hikvision, Paxton",VN Facilities Services
Antenna Array - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-03,"Nokia, NVIDIA, Ericsson",Red River Power Co.
Storage Room - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Cisco, Fortinet, Nokia",
Office Floor 1 - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Fortinet, Ericsson, Dell",SaiGon MEP Solutions
Office Floor 2 - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Fortinet, Dell, Juniper",
Lab A - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Corning, Hikvision, Schneider Electric",Alpha Secure Systems
Workshop - HCM-03,"121 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-03,"Nokia, Fortinet, Cisco",
Infrastructure Site - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",,"Schneider Electric, Corning, Nokia",
Network Operations Center (NOC) - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"APC, Paxton, Hikvision",
Security Operations Center (SOC) - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"APC, Hikvision, Paxton",
Server Room A - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Corning, Fortinet, Paxton",
Server Room B - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Aruba, Juniper, Cisco",
Network Closet - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Nokia, Juniper, Aruba",
Access Control Room - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Ericsson, Paxton, Dell",
Video Surveillance Room - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Juniper, Hikvision, APC",Danang Engineering Works
UPS Room - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Fortinet, Ericsson, NVIDIA",VN Facilities Services
Electrical Room - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Corning, Ericsson, Paxton",
HVAC Plant - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Juniper, Dell, Paxton",SaiGon MEP Solutions
Generator Yard - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"NVIDIA, Ericsson, Dell",Alpha Secure Systems
Reception - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"NVIDIA, APC, Hikvision",
Loading Bay - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Fortinet, Paxton, Ericsson",
Roof - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Fortinet, Cisco, Juniper",
IDF Room 1 - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Office Floor 1 - HCM-04,"Fortinet, Paxton, Cisco",HaNoi Cooling Services
IDF Room 2 - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Office Floor 2 - HCM-04,"Corning, Paxton, Dell",
Telecom Mast - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Roof - HCM-04,"Ericsson, NVIDIA, Schneider Electric",
Base Station - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-04,"Juniper, Fortinet, NVIDIA",
Antenna Array - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-04,"Ericsson, Cisco, APC",
Storage Room - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Dell, Schneider Electric, Fortinet",Red River Power Co.
Office Floor 1 - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Aruba, Cisco, APC",Alpha Secure Systems
Office Floor 2 - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Corning, Juniper, APC",
Lab A - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Fortinet, Schneider Electric, Nokia",
Workshop - HCM-04,"128 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-04,"Hikvision, Dell, Aruba",
Infrastructure Site - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",,"Cisco, Dell, NVIDIA",
Network Operations Center (NOC) - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Aruba, Schneider Electric, Corning",
Security Operations Center (SOC) - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Aruba, Hikvision, Paxton",SaiGon MEP Solutions
Server Room A - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Schneider Electric, Cisco, Vertiv",Danang Engineering Works
Server Room B - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"APC, Paxton, Hikvision",Alpha Secure Systems
Network Closet - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Schneider Electric, APC, Paxton",
Access Control Room - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Aruba, Paxton, APC",
Video Surveillance Room - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Schneider Electric, Corning, Ericsson",VN Facilities Services
UPS Room - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Juniper, Paxton, Dell",
Electrical Room - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Paxton, Cisco, Juniper",
HVAC Plant - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"APC, NVIDIA, Fortinet",
Generator Yard - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Ericsson, Juniper, Schneider Electric",
Reception - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Hikvision, Paxton, Cisco",
Loading Bay - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Cisco, Ericsson, Aruba",
Roof - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"NVIDIA, Fortinet, Corning",Mekong Telecom Services
IDF Room 1 - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Office Floor 1 - DN-05,"Juniper, Corning, APC",
IDF Room 2 - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Office Floor 2 - DN-05,"Corning, Juniper, NVIDIA",
Telecom Mast - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Roof - DN-05,"Ericsson, Paxton, Corning",
Base Station - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Telecom Mast - DN-05,"Schneider Electric, NVIDIA, Paxton",
Antenna Array - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Telecom Mast - DN-05,"Hikvision, Schneider Electric, Corning",
Storage Room - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Corning, NVIDIA, Dell",
Office Floor 1 - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Paxton, Schneider Electric, Ericsson",
Office Floor 2 - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Paxton, Fortinet, Hikvision",
Lab A - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Nokia, Fortinet, Corning",Danang Engineering Works
Workshop - DN-05,"135 2 Tháng 9, Hải Châu, Đà Nẵng, Vietnam",Infrastructure Site - DN-05,"Vertiv, Corning, Hikvision",
Infrastructure Site - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",,"Aruba, Fortinet, NVIDIA",SaiGon MEP Solutions
Network Operations Center (NOC) - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Paxton, Ericsson, Corning",
Security Operations Center (SOC) - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"APC, Juniper, Hikvision",
Server Room A - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Hikvision, Aruba, Fortinet",VN Facilities Services
Server Room B - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Hikvision, Vertiv, Nokia",
Network Closet - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Juniper, Vertiv, Schneider Electric",
Access Control Room - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Nokia, Hikvision, NVIDIA",
Video Surveillance Room - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Vertiv, Schneider Electric, Hikvision",VN Facilities Services
UPS Room - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Aruba, Fortinet, Juniper",
Electrical Room - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Hikvision, Dell, NVIDIA",
HVAC Plant - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Cisco, Ericsson, Hikvision",
Generator Yard - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Juniper, Vertiv, Dell",
Reception - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Corning, Ericsson, Aruba",
Loading Bay - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Aruba, Vertiv, Nokia",
Roof - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Ericsson, Schneider Electric, Fortinet",
IDF Room 1 - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Office Floor 1 - HP-06,"Dell, NVIDIA, Vertiv",
IDF Room 2 - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Office Floor 2 - HP-06,"Aruba, Hikvision, Corning",Danang Engineering Works
Telecom Mast - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Roof - HP-06,"Corning, Hikvision, Paxton",
Base Station - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Telecom Mast - HP-06,"NVIDIA, Paxton, Hikvision",Red River Power Co.
Antenna Array - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Telecom Mast - HP-06,"Ericsson, Juniper, Dell",Mekong Telecom Services
Storage Room - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"NVIDIA, Dell, Fortinet",Mekong Telecom Services
Office Floor 1 - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Schneider Electric, APC, Ericsson",
Office Floor 2 - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Cisco, Hikvision, Schneider Electric",
Lab A - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Aruba, Nokia, NVIDIA",Mekong Telecom Services
Workshop - HP-06,"142 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-06,"Vertiv, Cisco, APC",Mekong Telecom Services
Infrastructure Site - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",,"Fortinet, Schneider Electric, Ericsson",
Network Operations Center (NOC) - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Ericsson, Aruba, Nokia",
Security Operations Center (SOC) - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Vertiv, Hikvision, Paxton",
Server Room A - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Cisco, Schneider Electric, APC",
Server Room B - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Aruba, Schneider Electric, NVIDIA",Danang Engineering Works
Network Closet - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Dell, Nokia, Ericsson",Mekong Telecom Services
Access Control Room - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Nokia, Fortinet, Corning",Mekong Telecom Services
Video Surveillance Room - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Dell, Vertiv, Fortinet",Mekong Telecom Services
UPS Room - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"APC, Hikvision, Vertiv",Mekong Telecom Services
Electrical Room - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Paxton, Aruba, Schneider Electric",SaiGon MEP Solutions
HVAC Plant - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Vertiv, Cisco, NVIDIA",
Generator Yard - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"APC, Hikvision, Corning",VN Facilities Services
Reception - CT-07,"149 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-07,"Aruba, Cisco, Hikvision",VN Facilities Services
